name,x,y,z,qx,qy,qz,qw,yaw,note_type,description,ndt_score
H01S,-520.8382877600535,133.74003904999975,2.0123701601752533,0.001641563906367893,-0.010107594775746567,-0.9987065273565503,0.049803754991070905,-3.0419155664778663,station,record station 2025-05-15 14:54:17.197593,2.607166051864624
H02S,-521.4055200863555,137.28363573487718,1.9458508461396484,0.0017401364560337132,-0.011264847682945688,-0.9982643462543236,0.05777863038548362,-3.0259388283105113,station,record station 2025-05-15 14:56:01.440962,2.6136293411254883
D01S,-204.1819684616646,137.58373166213903,2.0276768396954896,-0.005306925208163355,-0.0015482395294990191,0.7383944209876226,0.6743464380817531,1.6613790823891377,station,record station 2025-05-15 14:58:57.569783,3.0545737743377686
D04S,-4.542374583072538,140.42542998022694,2.112198556555585,0.00904725709936913,0.001070451669689279,-0.679716216564284,0.7334186159429935,-1.4947462948784753,station,record station 2025-05-15 15:00:38.642987,2.679436683654785
D05S,-69.00882410136451,107.40998431320082,1.8411449186436644,0.00019638322188961454,0.00033695746197243094,-0.9991028109943256,0.04234880112277055,-3.056869846249926,station,record station 2025-05-15 15:01:26.827978,2.95965576171875
D06S,-122.39324237263058,103.09378812290686,1.821384125462274,0.003011082735898325,0.004443748065847155,-0.999230263066309,0.038859591561411444,-3.063880286570847,station,record station 2025-05-15 15:02:00.195783,2.9359843730926514
D11S,-190.23460641482168,61.42911706730247,1.8073732425679399,-0.0012433451313555045,0.005532255929649241,-0.6696171969778574,0.7426847633745629,-1.4674458162948376,station,record station 2025-05-15 15:02:52.515769,2.6426641941070557
D12S,-184.69772857569748,-2.2817396540311896,1.8088254618275996,-0.002475427994996569,0.006890263498526689,-0.6826796668022328,0.7306810994270719,-1.50294075603273,station,record station 2025-05-15 15:04:07.515301,2.51259183883667
D08S,2.596708668551031,10.03739407942133,1.8924558909259022,0.004057388430697482,0.0024856902948389484,-0.6756314758073676,0.7372241639021602,-1.4836505635250117,station,record station 2025-05-15 15:07:12.588092,2.729163885116577
D07S,-3.0603410221000495,76.41228811634144,1.9074570669413236,0.00311514756773164,0.0009306801578306783,-0.6704098561350103,0.741983864034192,-1.469522218007003,station,record station 2025-05-15 15:08:10.161910,2.7871360778808594
D09S,-59.1429060932286,-20.004545265316338,1.8500210627371372,0.004230324801103832,0.006521180171734657,-0.9990707185615557,0.04239431417232139,-3.0568331065541634,station,record station 2025-05-15 15:09:12.632790,2.910240650177002
D10S,-113.70576853979291,-24.373077200542696,1.8387314477469217,0.0012043352798602352,0.0006415730824480229,-0.9985886050391645,0.05309365165864028,-3.035356725156516,station,record station 2025-05-15 15:09:45.106821,2.886141300201416
P04S,-256.40658113865834,-88.46465530191158,1.7670444551366655,0.004973128623590613,-0.0024343947168358653,-0.9992348934095943,0.038716527566050304,-3.0641134556752903,station,record station 2025-05-15 15:11:26.781110,2.958277463912964
D13S,-287.42057902285734,-90.90105160356669,1.6620423469199297,0.007785385977334675,0.009507713733849244,-0.9991012169278343,0.04056783797615989,-3.060578564314494,station,record station 2025-05-15 15:12:18.854390,2.881944179534912
D13S-1,-298.99049937100943,-91.79124250092853,1.6556830305650705,-0.000985452946533508,0.0087289048364927,-0.9989706153612233,0.044503311648287976,-3.052542739345368,station,record station 2025-05-15 15:12:53.291737,2.992750883102417
D14S,-326.98388137764135,-94.08281152172255,1.730863086260623,-0.0011222501318859854,-0.0002369526222188412,-0.9993853442592774,0.03503738129286427,-3.0715039457133,station,record station 2025-05-15 15:14:50.250420,2.6790802478790283
D20S,-345.5611271232282,55.61892233427904,2.1786729083697365,-0.005099094473967638,-0.003149122976881041,0.7422225220884612,0.6701267118722144,1.6727819776181556,station,record station 2025-05-15 15:15:52.838398,2.7938456535339355
D18S,-272.37352090840733,5.5029432867287555,1.6673360815307021,0.0021536715306883472,0.007859679123371896,0.7388861040026303,0.6737810567646064,1.6629581631475183,station,record station 2025-05-15 15:17:50.552260,2.984914541244507
D19S,-275.18755160163255,38.68348935316064,1.688493603692412,0.0038559423037111563,0.00894772479601979,0.7411490606963246,0.671269796548959,1.6697235500497678,station,record station 2025-05-15 15:18:17.796498,3.046192169189453
D19-1S,-277.57235195336017,69.28106852121722,1.7681712573843176,0.004491826289587121,0.008383564511600314,0.7407912860104044,0.6716679312827993,1.6686374193867004,station,record station 2025-05-15 15:18:48.152448,3.0886378288269043
D15S,-408.1729346781017,78.59673181288049,1.7492363774752115,0.0033723128536776482,0.002600756103783892,-0.99919645220107,0.03985365080517159,-3.0618806322358494,station,record station 2025-05-15 15:21:18.752300,2.750018358230591
D21S,-442.0722019918753,44.050408809241596,1.4671086685474308,0.0035591567389866526,0.0005255547978230176,-0.673221729731539,0.7394319162794748,-1.4771134489159894,station,record station 2025-05-15 15:22:01.948315,2.6198623180389404
D22S,-500.30212857851456,44.38407571258826,1.3495463725621397,0.007009100563110751,0.004086586381639093,-0.6780729560203986,0.7349498204876304,-1.4902990129170757,station,record station 2025-05-15 15:24:31.281680,2.737551689147949
u-turn,-513.042840351761,71.4352073024801,1.5957102764349045,0.00571163927658933,0.0011244565447024097,-0.9990477007372472,0.04324123524915455,-3.055091830919208,station,record station 2025-05-15 15:26:53.763830,2.9049265384674072
P06S,-585.5670804793826,-120.32518800457564,1.18993601810573,0.0021667167847045764,0.014188040267260577,0.7355470706465793,0.6773215718659681,1.653362292445974,station,record station 2025-05-15 15:29:01.250771,2.7838852405548096
D16S,-595.4269503814021,60.40647995474669,1.3898894577086838,-0.006725891369780492,0.0003359905238438368,0.7283316574153805,0.6851916858093177,1.6317715420859331,station,record station 2025-05-15 15:30:29.630292,2.818493127822876
