station,node,x,y,z,qx,qy,qz,qw
H02S,H02S01,-520.4612426757812,137.328125,1.524088655903481,0.0,0.0,1.0,6.123233995736766e-17
H02S,H02S01,-520.4612426757812,137.328125,1.524088655903481,0.0,0.0,1.0,6.123233995736766e-17
H02S,H02S01,-521.1134643554688,137.22244262695312,1.5239896886422695,0.0,0.0,-0.9993028148348785,0.03733475944865027
H02S,H02S01,-524.2052882601259,136.95672971330708,2.909678639912338,0.0,0.0,-0.9991452342726723,0.04133764422662229
H02S,H02S01,-525.8023855281797,136.86335285004688,2.924473910032958,0.0,0.0,-0.999907612350845,0.013592893835831631
H04N,HH04N01,-384.0459260980281,168.627324978672,1.8324015686363393,0.0,-0.0,-0.040524465689782525,-0.9991785464473092
H04N,HH04N01,-382.19906082801685,168.78338508420035,1.8315819771129436,0.0,-0.0,-0.043460215374026626,-0.9990551584770699
H05N,HH05N01,-352.6757768487826,118.46102918569707,1.0834965459979222,-0.0,0.0,0.6775803228887894,-0.7354487786609777
H05N,HH05N01,-352.4933966240034,116.24641102683947,1.306930370173279,-0.0,0.0,0.6773085924312277,-0.7356990353526563
H05N,HH05N03,-350.5640536157145,93.96356568640128,1.8121542592302398,-0.0,0.0,0.6806412545687424,-0.7326168729827948
H05N,HH05N03,-350.4972139645908,92.42049848223743,1.8119110438231723,-0.0,0.0,0.7055296268748794,-0.708680425581089
D15S,HD15S01,-404.6856843347959,78.70468548437714,1.8486164485575827,-0.0,0.0,0.9991643079322262,-0.040874022976890585
D15S,HD15S01,-406.5269577935745,78.55425488900568,1.8478319297588093,-0.0,0.0,0.9991738719856571,-0.040639556360641545
D15S,HD15S04,-429.41617951709395,78.08119679717375,1.7180340865978878,-0.0,0.0,0.9991714823934189,-0.040698264972080615
D15S,HD15S04,-430.7701827845903,77.96955563951903,1.7098126721821096,-0.0,0.0,0.9991408280246574,-0.04144400769957025
D15S,HD15S07,-462.45159565599977,75.27587413348135,1.55223813953356,-0.0,0.0,0.9991377604615488,-0.041517895176427906
D15S,HD15S07,-464.6659865379744,75.09222424083906,1.5422075220618598,-0.0,0.0,0.9991490279193505,-0.04124584837067926
D1501N,HD1501N01,-486.79999053161686,73.3395411547518,1.4797409501433527,-0.0,0.0,0.9993226229762143,-0.03680075010022317
D1501N,HD1501N04,-507.19294947031955,71.85902678246953,1.45864907040616,-0.0,0.0,0.9997249657439408,-0.023451926749766514
D1501N,HD1501N04,-508.1222996618155,71.8395324707302,1.4739786322523485,0.0,0.0,0.9999823385661216,0.0059432782057209895
D1501N,HD1501N04,-502.3964165635043,77.2349034736554,1.466935239656674,0.0,0.0,0.04521256022182442,0.9989773893328057
D1501N,HD1501N04,-501.5752394475312,77.31266962510284,1.4712462189723159,0.0,0.0,0.049084376138405564,0.9987946355578325
