id,name,description,node_type,x,y,z,qx,qy,qz,qw,yaw
1,H01S,test,station,-521.2587891,133.6039734,0,0,0,-0.998822631,0.048511349,-174.4388262
2,H02S,test,station,-521.4279175,137.0723572,0,0,0,-0.998822631,0.048511349,-174.4388262
3,P01S,test,station,-492.17508,78.080842,0,0,0,0.032415349,0.999474484,3.715176194
4,P02S,test,station,-445.9377747,81.76993561,0,0,0,0.049203786,0.99878876,5.64061611
5,P03S,test,station,-391.1234741,84.9965744,0,0,0,0.050529503,0.998722569,5.792721338
6,P04S,test,station,-253.6399841,-82.70162201,0,0,0,-0.998380241,0.056893708,-173.476939
7,P05S,test,station,-371.1130066,86.63833618,0,0,0,0.058653758,0.998278386,6.725085346
8,P06S,test,station,-598.1172485,-113.2659225,0,0,0,0.731830397,0.681486808,94.08012594
9,D01S,test,station,-203.8314362,139.3622131,0,0,0,0.731577921,0.681757835,94.03768071
10,D02S,test,station,-134.2614441,167.0089417,0,0,0,0.027745244,0.999615027,3.179778821
11,D03S,test,station,-80.28000641,171.4285889,0,0,0,0.027979211,0.999608505,3.206599875
12,D04S,test,station,-5.420318127,139.3334961,0,0,0,-0.679137689,0.734010899,-85.55259143
13,D05S,test,station,-74.74835968,107.1001968,0,0,0,-0.999261961,0.038412667,-175.5971494
14,D06S,test,station,-128.8667145,102.7594681,0,0,0,-0.998949169,0.045831837,-174.7462179
15,D07S,test,station,-3.649722576,75.56402588,0,0,0,-0.677709412,0.735329826,-85.32981337
16,D08S,test,station,1.918541431,12.06395817,0,0,0,-0.674306252,0.738451812,-84.80059967
17,D09S,test,station,-64.79610443,-20.25206947,0,0,0,-0.999305489,0.037263125,-175.7289716
18,D10S,test,station,-118.9756699,-24.73381042,0,0,0,-0.998610911,0.052690112,-173.9593607
19,D11S,test,station,-190.3471832,60.60440674,0,0,0,-0.683711007,0.729752875,-86.26863857
20,D12S,test,station,-185.0778351,-3.256521225,0,0,0,-0.670540786,0.741872667,-84.21763331
21,D13S,test,station,-296.5957336,-91.29408264,0,0,0,-0.999137993,0.041512297,-175.2416739
22,D14S,test,station,-327.6259155,-93.96604156,0,0,0,-0.999387594,0.034991949,-175.9893993
23,D15S,test,station,-408.239502,79.27981567,0,0,0,-0.999420755,0.034031657,-176.0995062
24,D16S,test,station,-594.9161377,55.6475563,0,0,0,0.738683656,0.674052265,95.23880732
25,D17S,test,station,-329.3824768,148.5884094,0,0,0,-0.999158974,0.041004214,-175.2999455
26,D18S,test,station,-277.6007385,4.761870861,0,0,0,0.747792351,0.663932677,96.79900938
27,D19S,test,station,-280.7330322,41.65687561,0,0,0,0.739188276,0.673498844,95.32462995
28,D20S,test,station,-346.70401,56.75054169,0,0,0,0.738020439,0.674778357,95.1261185
29,D21S,test,station,-441.2451782,41.42373276,0,0,0,-0.681902104,0.73144345,-85.98491912
30,D22S,test,station,-498.4857788,36.8777504,0,0,0,-0.685579367,0.727997893,-86.56237626
31,D04A,test,station,-9.250069618,139.6334229,0,0,0,-0.681638685,0.731688939,-85.94365752
32,D05A,test,station,-75.06613159,110.9835968,0,0,0,-0.999261961,0.038412667,-175.5971494
33,D06A,test,station,-129.3100128,106.470108,0,0,0,-0.998949169,0.045831837,-174.7462179
34,D07A,test,station,-7.468642235,75.48867035,0,0,0,-0.672940631,0.739696497,-84.58886368
35,D08A,test,station,-1.93028152,11.80293941,0,0,0,-0.668188821,0.743991733,-83.85486116
36,D09A,test,station,-65.14937592,-16.57766342,0,0,0,-0.999175936,0.040588772,-175.3475913
37,D10A,test,station,-119.2720795,-20.96955681,0,0,0,-0.998951752,0.045775515,-174.7526787
38,D11A,test,station,-194.1721039,60.15076447,0,0,0,-0.684734107,0.728792977,-86.42939952
39,D12A,test,station,-188.8972931,-3.592179775,0,0,0,-0.678402,0.734690905,-85.43779107
40,D17A,test,station,-329.5690918,152.7172394,0,0,0,-0.99821259,0.059763075,-173.1475729
41,D18A,test,station,-273.7931519,4.693547249,0,0,0,0.739308576,0.673366787,95.34510024
42,D19A,test,station,-276.9655762,41.81489182,0,0,0,0.737317322,0.675546569,95.00678238
43,P07S,จุดเดียวกับ D18S,station,-277.6007385,4.761870861,0,0,0,0.747792351,0.663932677,96.79900938
44,P08S,จุดเดียวกับ D19S,station,-280.7330322,41.65687561,0,0,0,0.739188276,0.673498844,95.32462995
