x,y,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-462.205,150.8187,-3.0581104911828296,5.55555534362793,0.0,"array('q', [37335])",-461.5883331258706,149.4453679287232,-461.82515357995436,152.27546621714117
-464.19803477229163,150.65192954447602,-3.058110655134381,5.55555534362793,0.0,"array('q', [37335])",-472.899,148.4989,-473.1358,151.329
-466.1910695751879,150.4851594154402,-3.0581118389445106,5.55555534362793,0.0,"array('q', [37335])",-474.5254,148.3075,-475.06,151.0967
-468.184104626434,150.31839164151793,-3.058132626820506,5.55555534362793,0.0,"array('q', [37335])",-476.2317,147.9788,-476.8655,150.7523
-470.1771441062064,150.15166521810423,-3.05849931702022,5.55555534362793,0.0,"array('q', [37335])",-477.8618,147.5427,-478.691,150.2695
-472.1702617711604,149.98566820290424,-3.0375199171958314,5.55555534362793,0.0,"array('q', [37335])",-479.4569,146.9928,-480.4781,149.659
-474.15922318012554,149.77792095822832,-2.9732863762146295,5.55555534362793,0.0,"array('q', [37364])",-481.0091,146.3319,-482.2179,148.9239
-476.13012769558924,149.44303728491627,-2.89460293129458,5.55555534362793,0.0,"array('q', [37364])",-482.5107,145.5632,-483.9017,148.0679
-478.0687359581794,148.9542408081022,-2.815418918188571,5.55555534362793,0.0,"array('q', [37364])",-483.9971,144.6637,-485.4782,147.1221
-479.9626975185374,148.3135983331838,-2.7361440050219428,5.55555534362793,0.0,"array('q', [37364])",-486.1464,143.101,-487.879,145.3891
-481.79997288464267,147.52498328824154,-2.6568972100068247,5.55555534362793,0.0,"array('q', [37364])",-488.2994,141.4708,-490.032,143.7588
-483.56895073546656,146.59345089262507,-2.573873205639483,5.55555534362793,0.0,"array('q', [37364])",-489.1746,140.8478,-490.7097,143.2727
-485.2542430060195,145.51864606190165,-2.5152925857647452,5.55555534362793,0.0,"array('q', [37364])",-490.0268,140.3365,-491.4699,142.7633
-486.8746547000323,144.34633798974772,-2.4947157405264933,5.55555534362793,0.0,"array('q', [37364])",-490.9397,139.8541,-492.2237,142.3164
-488.4705778552084,143.14095621740458,-2.509334337813867,2.222222328186035,0.0,"array('q', [37095])",-491.877,139.424,-493.0025,141.9117
-490.08663824574666,141.95706383591488,-2.6203060875103428,2.222222328186035,0.0,"array('q', [37095, 39337])",-492.8356,139.0473,-493.8038,141.5506
-491.82309427697476,140.95986675156394,-2.735771395931529,2.222222328186035,0.0,"array('q', [37095, 39337])",-493.8125,138.7252,-494.6252,141.2342
-493.66568485491393,140.1681570660305,-2.851526080261304,2.222222328186035,0.0,"array('q', [39337])",-494.8045,138.4583,-495.4643,140.9639
-495.58569414321823,139.5950625373727,-2.9758036121535048,2.222222328186035,0.0,"array('q', [39337])",-495.8087,138.2476,-496.3183,140.7404
-497.55629092752486,139.26533264933624,-3.055725012273476,2.222222328186035,0.0,"array('q', [39337])",-496.7874,138.0989,-497.2192,140.5592
-499.5508365513248,139.09364354455636,-3.058758349507046,2.222222328186035,0.0,"array('q', [39337])",-503.5794,137.4849,-503.7552,139.9766
-501.54521707159614,138.92806153386684,-3.048773818500626,2.222222328186035,0.0,"array('q', [39337])",-524.5764005724312,135.58893550044354,-524.8009955586306,138.07622946343503
-503.5360485312343,138.7427423753888,-3.0514579696449546,2.222222328186035,0.0,"array('q', [39337])",,,,
-505.5279159700529,138.56271824806262,-3.0515499422637546,1.6666666269302368,0.0,"array('q', [37934])",,,,
-507.51981298334215,138.38287614272144,-3.051548680422146,1.6666666269302368,0.0,"array('q', [37934])",,,,
-509.51171053112273,138.20303145517423,-3.051553742047343,1.6666666269302368,0.0,"array('q', [37934])",,,,
-511.50360900072474,138.02319684882622,-3.05131513274488,1.6666666269302368,0.0,"array('q', [37934])",,,,
-513.4954651077674,137.8428869073894,-3.049347759074606,1.6666666269302368,0.0,"array('q', [37934])",,,,
-515.4869726225674,137.6586576671558,-3.0499740325991844,1.6666666269302368,0.0,"array('q', [37934])",,,,
-517.4785895831484,137.47567620053513,-3.0517796411986584,1.6666666269302368,0.0,"array('q', [37934])",,,,
-519.4705247852194,137.29629191286523,-3.054657150032264,1.6666666269302368,0.0,"array('q', [37934])",,,,
-521.4629680381244,137.1226401607672,-3.054657150032264,1.6666666269302368,0.0,"array('q', [37934])",,,,
