x,y,yaw,left_x,left_y,right_x,right_y
-167.43472037078698,99.41044156966903,-3.094004256399153,-163.333,98.3117,-163.561,101.1294
-169.43441385950405,99.31520745999397,-3.1371994354483608,-168.5918,97.9126,-168.6931,100.7378
-171.43496539234343,99.30641854416386,3.0822601350342302,-170.652,97.8164,-170.6313,100.7479
-173.43038869208965,99.42495115878474,3.023650708838453,-172.7375,97.8384,-172.5427,100.8683
-175.4175605323216,99.66041487448689,2.990321231227775,-174.8213,97.9798,-174.441,101.0975
-177.39594086500531,99.96199112574745,2.9793279148325387,-176.8919,98.2662,-176.325,101.4086
-179.36944535745968,100.28506177306268,2.99337441725477,-181.3154,98.9849,-180.9555,102.1577
-181.34778124334437,100.58045352252653,3.054352762315056,-182.2106,99.0521,-181.9072,102.2676
-183.34281525827913,100.75494296585094,3.126626408471306,-183.1086,99.1195,-182.9069,102.3831
-185.3440128640434,100.7848956161324,-3.0980790588613947,-184.8769,99.1299,-184.8991,102.4764
-187.3306802035895,100.69839397674914,-3.0172273201709467,-186.6392,99.0196,-186.8956,102.4332
-189.3203509101088,100.4496642460352,-2.88527362844417,-189.1977,98.7586,-189.7153,102.1263
-191.3108995537541,99.92797347118919,-2.604041631095523,-190.399,98.477,-191.8861,101.7805
-193.01848624612506,98.91007154591483,-2.145636095164142,-191.3133,98.0132,-192.8629,101.3843
-194.1043317093547,97.23391331750099,-1.7794905452300136,-192.1889,97.3161,-193.892,100.721
-194.53001647236673,95.22385880467277,-1.5192036034458642,-192.6479,96.422,-194.7731,99.8709
-194.42676039322643,93.22426583513362,-1.4404260590323739,-192.7681,95.5854,-195.4727,98.8661
-194.16689139842674,91.24225683424028,-1.4581670944235432,-192.5045,92.0483,-195.9644,97.7447
-193.94207326639926,89.25461392286999,-1.4082571380865108,-192.375,90.2952,-196.2006,96.7175
-193.61847716180827,87.28129670899801,-1.3438650022506784,-192.2044,88.5409,-196.2584,95.3252
-193.16827344013504,85.33159281285705,-1.3097014184211992,-191.9495,86.7927,-195.9948,91.7882
-192.6520391500951,83.39953686577604,-1.328229293841245,-191.6346,85.3379,-195.7635,89.8796
-192.17161365133072,81.45794663317747,-1.391663535849076,-190.9623,82.8286,-195.3993,87.9935
-191.81529867331204,79.49015733597123,-1.4557337558389754,-190.6826,81.4756,-194.9465,86.1309
-191.58565245819963,77.50313533067488,-1.4844514152845325,-190.5228,80.2529,-194.5145,84.5663
-191.41317644182638,75.51057813466902,-1.495142760082314,-190.2524,78.2084,-193.8168,81.9622
-191.26200891276125,73.51623702196166,-1.4927994812487724,-189.8117,72.9402,-193.543,81.1984
-191.10617124461595,71.52229065671779,-1.4885443989444918,-189.4057,67.9158,-193.3057,80.0152
-190.94185312668674,69.5290560076898,-1.4870796349473314,-189.0483,63.6769,-193.0379,77.9775
-190.77461547682753,67.53606310088058,-1.487343527619795,-189.0248,63.3981,-192.603,72.7135
-190.60790347644246,65.54302263303732,-1.487703427313697,-188.3727,55.6624,-192.1983,67.7869
-190.44190884466616,63.54992305319387,-1.4877505246047589,-187.5035,44.0411,-191.8375,63.4432
-190.27600829616017,61.55681822256366,-1.4870301513968975,-186.1564,29.2501,-191.8144,63.1648
-190.10867164846954,59.56382909562135,-1.4859606348162318,-185.9226,26.3282,-191.1718,55.4286
-189.93920261000798,57.57100888345902,-1.4885100761961907,-186.1483,23.2183,-190.2873,43.8095
-189.77481647017302,55.57778461992969,-1.4943158710818873,-186.4338,22.1366,-188.93,29.0281
-189.62200537023057,53.58364064791072,-1.4966025018483846,-186.8299,21.1469,-188.6959,26.1061
-189.4737529237634,51.5891307664162,-1.495215485013956,-187.3756,20.2525,-188.9502,23.9995
-189.3227348508382,49.59483700028355,-1.4958835742440182,-188.0997,18.9857,-189.1358,23.5428
-189.17304976492173,47.60045060970562,-1.4973737067762396,-188.6444,17.6597,-189.6737,22.2682
-189.0263365138894,45.60584025259464,-1.4922436507794807,-188.9458,16.5691,-190.3697,21.035
-188.86939026966172,43.611976951763495,-1.4824524477428658,-189.1143,15.1862,-191.128,19.8729
-188.6929159283097,41.61959221730984,-1.4767014994801504,-188.9527,13.1668,-191.5429,19.0521
-188.50500711432048,39.628474103661446,-1.4760688704780704,-188.8413,11.8643,-191.8617,18.0733
-188.3158986431792,37.63810617840124,-1.4788702828037528,-187.5241,-3.5304,-191.9603,17.1723
-188.13234463224035,35.646976388716475,-1.4840300607431889,-187.2491,-6.9984,-191.8864,14.9642
-187.95889698580794,33.65297370219705,-1.486602607129523,-187.2245,-9.0177,-191.7318,13.034
-187.7904650605902,31.65717453227827,-1.4758441138235021,-187.365,-11.0619,-191.6111,11.627
-187.6009837588141,29.66763154320002,-1.4717844435234582,-187.6708,-13.0894,-190.2907,-3.7674
-187.40378589588434,27.682485570809433,-1.5217201812146268,-188.1401,-15.0867,-190.0254,-7.0668
-187.3053109148332,25.677521463667702,-1.6827425228897135,-188.7599,-17.0127,-190.033,-8.9161
-187.52878597714127,23.68959545055719,-1.9740308113832064,-189.6177,-19.2027,-190.1891,-10.7292
-188.30514537316105,21.869766176142214,-2.0736473015667602,-189.952,-20.4251,-190.4913,-12.5225
-189.27773578634475,20.10145248305149,-1.9539872360159725,-190.1648,-21.6737,-190.9374,-14.284
-190.0298583861185,18.235686884955175,-1.767274042067866,-190.254,-22.9364,-191.5346,-16.0303
-190.422640114406,16.262361699192983,-1.6059181888865648,-189.7309,-31.0755,-192.2447,-17.7806
-190.49305150673166,14.258412196671605,-1.490261680819783,-189.1448,-40.5857,-192.7192,-19.2641
-190.33216474326764,12.264999510647282,-1.4532738108357772,-187.851,-52.8297,-193.046,-20.7876
-190.09731982221092,10.275910592951648,-1.47666107173809,-187.7329,-55.9893,-193.222,-22.3365
-189.9092738851839,8.28420030855192,-1.4931538554143773,-187.9531,-58.9547,-193.2461,-23.8714
-189.75417499533927,6.290612287358168,-1.4902318120248947,-188.8701,-62.9538,-192.7197,-31.3673
-189.5932382686236,4.297323030424009,-1.4840635658510375,-190.4997,-66.855,-191.9865,-40.3797
-189.4199823159964,2.3047507974432584,-1.4838536593860592,-191.7841,-69.3114,-191.9615,-40.7441
-189.24631637701196,0.3123097830282977,-1.4859457457172671,-193.2083,-71.7507,-190.6521,-53.097
-189.07683192070564,-1.6803403262545276,-1.484920884615237,-194.7451,-74.1208,-190.5412,-55.9451
-188.90527490695217,-3.6731694862598383,-1.4875876320588866,-196.5349,-76.6256,-190.732,-58.56
-188.7390025459511,-5.666812638933791,-1.520683174405845,-198.4346,-78.9648,-191.539,-62.104
-188.6388105925328,-7.6644532378544685,-1.5893819341413944,-200.7737,-81.1178,-192.9571,-65.5249
-188.6760563280654,-9.668232087045066,-1.6769672226803498,-203.4039,-82.9035,-194.2297,-67.9589
-188.88850816607015,-11.661744197717638,-1.774384826029842,-206.268,-84.2831,-195.5884,-70.285
-189.29224617437217,-13.617377515114882,-1.860340488630778,-209.3039,-85.2267,-197.0545,-72.5449
-189.86217717751123,-15.530434192577923,-1.9003841346721804,-212.4446,-85.7136,-198.7942,-74.9784
-190.51218741547228,-17.430691204733353,-1.88708926644797,-224.6714,-86.7414,-200.4745,-77.053
-191.13923278332396,-19.346619013331125,-1.8019009272295008,-243.0911,-88.2615,-202.5102,-78.9272
-191.59671439676288,-21.29079436944385,-1.6459907786048638,-262.8058,-89.86,-204.7993,-80.4817
-191.74584683288396,-23.270345405187182,-1.5218322958559591,-274.4949,-90.9545,-207.2921,-81.6828
-191.64766396524416,-25.2739466102846,-1.4885627361036728,-294.2096,-92.553,-209.9344,-82.5044
-191.4823801902039,-27.279344111840746,-1.5036848286123128,-295.20686331003657,-92.64435956271235,-212.6696,-82.9286
-191.3482141026765,-29.27549387339469,-1.5076367830034272,,,-224.9033,-83.8973
-191.2222129909199,-31.267805957611213,-1.5000904034053932,,,-243.3182,-85.4672
-191.0810032579221,-33.261618213619585,-1.4980584974319793,,,-263.0278,-87.0267
-190.93559140814625,-35.257214076262684,-1.5041611044892556,,,-274.7159,-88.1354
-190.8023626095743,-37.25362897099555,-1.5034710542260925,,,-294.4255,-89.6949
-190.6678128608047,-39.24911137033034,-1.486390278081083,,,-295.43530174730904,-89.79178737843077
-190.49924775041148,-41.24144030098429,-1.4653782385464573,,,,
-190.28880427782886,-43.230314762786875,-1.4615880746403398,,,,
-190.0707948536164,-45.21864474486621,-1.4674383271997722,,,,
-189.86444745139363,-47.2079642421936,-1.4619628652682137,,,,
-189.6472095630573,-49.196134973499056,-1.45563616755164,,,,
-189.41737379058995,-51.18309693814884,-1.4801221768899313,,,,
-189.2362605478119,-53.17502751206017,-1.532787718112616,,,,
-189.16019031930165,-55.17545835889515,-1.6029624095320296,,,,
-189.2245619992173,-57.17599656688498,-1.6845111267448183,,,,
-189.4518076158975,-59.16575746657048,-1.7709319820055753,,,,
-189.8499791583745,-61.12863176710125,-1.8597610191200828,,,,
-190.4202715683668,-63.046963323958124,-1.941432076324106,,,,
-191.1453753760912,-64.91292739181272,-2.0082144693829664,,,,
-191.99343104861205,-66.72644490376207,-2.0605909104140636,,,,
-192.93445929185248,-68.49156461819568,-2.096958357880361,,,,
-193.9389257802985,-70.22109829281587,-2.123973157078667,,,,
-194.9897268681781,-71.92284247905906,-2.1489957044895815,,,,
-196.0831505700903,-73.59833610779894,-2.1840907363056705,,,,
-197.23446470372818,-75.23411147859501,-2.2366235828480487,,,,
-198.470492975995,-76.80769821614717,-2.305476113202775,,,,
-199.81223747599145,-78.2929462580279,-2.3872114837957126,,,,
-201.27230122804977,-79.66513390425824,-2.481367821245618,,,,
-202.8555368433834,-80.89446131571866,-2.5905159728507465,,,,
-204.56058112598592,-81.94236038122135,-2.705848608708044,,,,
-206.37594323333929,-82.78757785948001,-2.8072044151574365,,,,
-208.26997196425623,-83.44563041515778,-2.8944167460485164,,,,
-210.21200657021902,-83.93567538578293,-2.971998154438813,,,,
-212.1844953503564,-84.27344318462859,-3.037720595575402,,,,
-214.1734482552096,-84.48078605510872,-3.0711032203768647,,,,
-216.16897018125903,-84.62168270252845,-3.0666775775446777,,,,
-218.16362537764132,-84.77139262385855,-3.057390386922871,,,,
-220.15645389860103,-84.93959100046648,-3.0585158804837906,,,,
-222.14949385118052,-85.10554830280209,-3.0608396151984896,,,,
-224.14300011986418,-85.2668808295985,-3.05944551564454,,,,
-226.1362739618678,-85.43099188583757,-3.057585481911221,,,,
-228.1292176430306,-85.59880840551868,-3.057298275740584,,,,
-230.12211076361498,-85.76719711130842,-3.0578419816646427,,,,
-232.1151005827588,-85.93450270107077,-3.0581337508039743,,,,
-234.10814091283254,-86.10122693979507,-3.0581033087099674,,,,
-236.101174401696,-86.26801170307355,-3.0577915619263942,,,,
-238.09415570495614,-86.43541777210929,-3.0573246220698316,,,,
-240.08706103933426,-86.60375462942005,-3.057738655063303,,,,
-242.08003443895947,-86.77126622097033,-3.059541772605195,,,,
-244.07330218505837,-86.93518361036669,-3.061553308289829,,,,
-246.06689848105563,-87.09509137080906,-3.062366989148202,,,,
-248.06062877196763,-87.25337728786796,-3.0620920319133,,,,
-250.05431554439755,-87.41221139577766,-3.061541073167515,,,,
-252.04791039082411,-87.57214358878123,-3.0609706391254696,,,,
-254.04140620202514,-87.73321236569743,-3.0611008902128196,,,,
-256.03492324870825,-87.89402150827358,-3.0626672424367762,,,,
-258.02871188291846,-88.0517096567854,-3.0644121583499793,,,,
-260.0228039219086,-88.20592099308972,-3.0614740498016673,,,,
-262.0163858936216,-88.36598663046254,-3.053258154467676,,,,
-264.0085409128946,-88.54242179206281,-3.046463543238294,,,,
-265.9995157355668,-88.73239485847242,-3.046668233292595,,,,
-267.9905261064016,-88.92196007437269,-3.0480542150658447,,,,
-269.9817772286005,-89.10876372217265,-3.046242236035463,,,,
-271.9727136341754,-89.29917775238474,-3.0474024794239263,,,,
-273.9638515530461,-89.4872799767784,-3.0554521767231018,,,,
-275.9563875412183,-89.65934376918634,-3.0626166137447557,,,,
-277.95016785844916,-89.81713283422073,-3.0641537267219525,,,,
-279.94421515770347,-89.97185912781354,-3.0621187426302345,,,,
-281.93790900088277,-90.13064020816086,-3.061001489276987,,,,
-283.9314087932589,-90.29164740564676,-3.061270041172945,,,,
-285.9249552289584,-90.45211951902165,-3.0617505267778684,,,,
-287.91858511801723,-90.61163426994034,-3.0618134462284123,,,,
-289.9122259353107,-90.77102365404842,-3.0616471546739907,,,,
-291.9058378700921,-90.93074437332137,-3.061600890799809,,,,
