x,y,yaw,left_x,left_y,right_x,right_y
-119.87491012921586,107.3417354321944,-3.0582610489340185,-113.28124817895896,106.49030795231896,-113.51360630008345,109.27538357868418
-121.86798117880747,107.17526411063876,-3.0596081561280375,-127.2639,105.3237,-127.4981,108.1087
-123.86111708909633,107.01149076826313,-3.0594267601790803,-135.7033,104.4649,-135.9817,107.3158
-125.85424426610463,106.84735415182297,-3.0550561154774525,-138.5354,103.9957,-139.4242,107.0411
-127.84713097595046,106.67446485482125,-3.047281878415255,-139.7964,103.6011,-140.6683,106.7832
-129.8388432771624,106.48606601972517,-3.0383352142530233,-140.7172,103.1214,-141.7662,106.4023
-131.8272599803147,106.28001436720265,-3.0346266987997996,-142.5312,102.2327,-142.3026,106.1094
-133.8134664093584,106.06674388560151,-3.054554648811495,-144.4004,101.4552,-143.954,105.2574
-135.80857414943375,105.89265385342708,-3.047364718160469,-146.3054,100.7757,-145.6353,104.4752
-137.80351402336342,105.7041164554177,-2.9294825586163653,-148.2409,100.196,-147.3565,103.7801
-139.75278647622463,105.28434180967471,-2.7742183933426086,-150.2017,99.7174,-149.1133,103.1739
-141.6247103930652,104.56394035574631,-2.696810677010722,-152.1825,99.3409,-150.9009,102.6586
-143.43213532026138,103.70245732763524,-2.7106809406393704,-154.1781,99.0673,-152.7148,102.2357
-145.24652076526078,102.86833904810793,-2.783833939497805,-156.2211,98.8742,-154.5501,101.9065
-147.11946644670735,102.16814546921452,-2.8453045571534594,-163.333,98.3117,-156.4429,101.689
-149.03551280556758,101.5832267086635,-2.892523385031032,-168.5918,97.9126,-163.561,101.1294
-150.97508813123815,101.08989428574301,-2.947558164029708,-170.652,97.8164,-168.6931,100.7378
-152.9366964176188,100.70442487555772,-3.0037376602348624,-172.7375,97.8384,-170.6313,100.7479
-154.91788205605587,100.42956518819659,-3.0410936063248304,-172.79143974618887,97.84206017857332,-172.5427,100.8683
-156.90889760395686,100.22879363215202,-3.0619919334550425,,,-172.8497357591741,100.90537137754976
-158.902576827711,100.06975929316627,-3.0752709484900214,,,,
-160.89790514411973,99.93723134890162,-3.0832806926575915,,,,
-162.89441087245797,99.8206790512459,-3.087451201068303,,,,
-164.8915416273916,99.71244571594673,-3.0887965460457503,,,,
-166.88888015394406,99.60689592722144,-3.0873174690267473,,,,
-168.88600923717178,99.4983948160032,-3.0850975686788007,,,,
-169.7788696,99.44789886,-3.0850975686788007,,,,
