x,y,yaw,left_x,left_y,right_x,right_y
-3.666341671674827,81.22536916736401,-1.485814813513342,-2.9705325758015073,89.81581755616534,-5.810157395737021,89.57314780608036
-3.496583134501133,79.23258654417242,-1.4858819941928412,-1.7399,75.4159,-4.5796,75.1732
-3.3269584694074554,77.2397924646665,-1.4849952186908548,-0.5387,61.6121,-3.3642,61.4003
-3.1555667119296946,75.2471496069822,-1.4835638214221785,-0.1801,56.8262,-3.0198,56.5835
-2.9813226573682763,73.2547517179227,-1.4831747990125324,1.0398,42.5514,-1.7999,42.3087
-2.806303804268632,71.26242490272739,-1.4839325653587077,1.0323,40.495,-1.9685,40.5899
-2.6327956149151914,69.26997631866527,-1.483685917283707,0.8972,38.4999,-2.1847,38.8755
-2.4587953932497233,67.27756367463674,-1.4813988369525533,0.6155,36.8827,-2.4772,37.5416
-2.280235215393713,65.28551394807052,-1.4811153518279752,0.2167,35.4131,-2.8572,36.2236
-2.101109908645078,63.2935102543319,-1.4878600721049666,-1.0654,31.8977,-4.2065,32.7373
-1.9354317349753072,61.30043579214141,-1.4979752304405443,-1.3846,31.0331,-4.6024,31.4948
-1.7899192436404514,59.30575026400322,-1.4990221391361755,-1.7002,29.8802,-4.7643,30.3617
-1.646492157448475,57.31087276836536,-1.4901636484339462,-1.8186,28.7861,-4.7973,29.5532
-1.4854007207529831,55.31736133308521,-1.4836315170903955,-1.8524,27.7024,-4.7412,28.5336
-1.311287698316096,53.32490765317432,-1.486620104385155,-1.2992,21.1394,-4.692,27.4597
-1.1431437109035758,51.332104232373126,-1.490480558430145,-0.4868,11.4388,-4.1039,20.9052
-0.9826998776073577,49.33873853888477,-1.4806973004686053,-0.2694957838244194,8.846226610144956,-3.2961,11.2041
-0.8027233788274093,47.34660570624157,-1.4644045805244952,,,-3.077770512017435,8.61171331735235
-0.5901993941051666,45.356587504941274,-1.4847004743638816,,,,
-0.4182176318959677,43.36396406030014,-1.5581457800157785,,,,
-0.39292371250964,41.36463782577674,-1.6555112913792083,,,,
-0.5624013426792902,39.36886280442011,-1.7520089933937442,,,,
-0.9231634606794386,37.39988046558563,-1.8472354065535852,,,,
-1.4695069532321419,35.4741211130464,-1.929133812430987,,,,
-2.1729532783972485,33.59578975222149,-1.9101796979645191,,,,
-2.838188217131595,31.71150233360287,-1.7586776107233137,,,,
-3.211062155248466,29.750284244998273,-1.6038272800000577,,,,
-3.277447676515322,27.741217902697976,-1.5008165813551124,,,,
-3.137452625680593,25.743976428957552,-1.4683573925541873,,,,
-2.9330822903697014,23.755914303819935,-1.4843411293823707,,,,
-2.760379669750213,21.763297057388346,-1.4969798604306994,,,,
-2.6128285297669356,19.768037000375045,-1.4988859333236755,,,,
-2.4691034086055086,17.772813645699994,-1.4929732702472671,,,,
-2.313617577530728,15.778908305916922,-1.482121129469764,,,,
-2.1365270930784974,13.787076599250128,-1.467221068281967,,,,
-1.93028152,11.80293941,-1.467221068281967,,,,
