x,y,yaw,left_x,left_y,right_x,right_y
-579.4727943426344,-54.63469209896479,-1.4895555701876453,-578.9195401966816,-44.05490114270087,-581.730219452535,-44.283745318235745
-579.3104915015026,-56.62809567075098,-1.4895561654034075,-575.3217,-88.2439,-578.1328,-88.4674
-579.1481898472191,-58.621499334928785,-1.4895574700449499,-573.892,-107.4957,-576.7042,-107.7046
-578.9858907943646,-60.61490320161789,-1.4895567991287237,-573.2645926324486,-115.25429760027829,-576.1989678961111,-115.46839972031137
-578.8235904037167,-62.6083069641649,-1.4895525949741915,,,,
-578.6612816300689,-64.60171007412738,-1.4895503168228341,,,,
-578.4989683138327,-66.59511283046673,-1.4895603376702187,,,,
-578.3366749789654,-68.5885171422793,-1.4895778694740196,,,,
-578.1744166021601,-70.58192417544343,-1.4895622623852884,,,,
-578.012127105136,-72.57532878601741,-1.4894988363181179,,,,
-577.8497111377827,-74.5687235513595,-1.4894843537650158,,,,
-577.6872662924957,-76.56211606866476,-1.4896482326946536,,,,
-577.525148218485,-78.55553402386539,-1.4898711781257743,,,,
-577.3634746925705,-80.54898658543682,-1.4895638703590954,,,,
-577.2011884018137,-82.54239144560647,-1.48863428919258,,,,
-577.0370485383163,-84.53565201222027,-1.4887068455849386,,,,
-576.8730533518335,-86.52892384138687,-1.491327099013592,,,,
-576.7142828851461,-88.5226023949514,-1.4954654912419159,,,,
-576.563764199444,-90.51692329892029,-1.4977384451063216,,,,
-576.4177777451752,-92.51159692529254,-1.4976197291631577,,,,
-576.2715545830644,-94.50625196957687,-1.496665617395217,,,,
-576.1234289280151,-96.50075899759076,-1.495872007270219,,,,
-575.9737207962472,-98.49514334818201,-1.4957913276194377,,,,
-575.8238517715134,-100.48951544381919,-1.4974391163475467,,,,
-575.6772684961801,-102.48414207741534,-1.5037463296208398,,,,
-575.5432615507207,-104.4797583704628,-1.5047976685764533,,,,
-575.4113519222465,-106.47552694208545,-1.501308364214275,,,,
-575.2724858848712,-108.47072800707551,-1.4938880493958335,,,,
-575.118826843917,-110.4647391614768,-1.4837749364077717,,,,
-574.9590454,-112.2962189,-1.4837749364077717,,,,
