id,name,description,node_type,x,y,z,qx,qy,qz,qw,yaw,position
1,H01S,test,station,-521.2587891,133.6039734,0,0,0,-0.998822631411061,0.048511348992622,-174.4388262,under
2,H02S,test,station,-521.4279175,137.0723572,0,0,0,-0.998822631411061,0.048511348992622,-174.4388262,top
3,H01N,test,station,-561.1687012,149.5363617,0,0,0,0.0548930249893764,0.998492241235512,6.293440628,top
4,H02N,test,station,-505.5957336,154.3336639,0,0,0,0.0548930249893764,0.998492241235512,6.293440628,top
5,H03N,test,station,-447.6339722,159.3382721,0,0,0,0.0548930249893764,0.998492241235512,6.293440628,top
6,H04N,test,station,-374.6099243,165.7845917,0,0,0,0.0478076739763803,0.998856559426311,5.480444908,top
7,H05N,test,station,-351.6308594,105.2836533,0,0,0,-0.680453206993647,0.732791534539027,-85.75813679,top
8,P01S,test,station,-491.7234580806,78.0312725231207,0,0,0,0.0324153489884321,0.999474484491704,3.715176194,top
9,P02S,test,station,-445.9377747,81.76993561,0,0,0,0.0492037859885673,0.998788760171234,5.64061611,top
10,P03S,test,station,-394.108154715953,84.6937846697353,0,0,0,0.050529503010441,0.998722568747457,5.792721338,top
11,P04S,test,station,-258.800933837891,-88.246223449707,0,0,0,-0.99838024118941,0.0568937079348411,-173.476939,top
12,P05S,test,station,-365.022210910023,87.1919869233812,0,0,0,0.0586537579826931,0.998278386360492,6.725085346,top
13,P06S,test,station,-591.6357421875,-116.76171875,0,0,0,0.73183039700659,0.681486808395567,94.08012594,left
14,D01S,test,station,-203.8314362,139.3622131,0,0,0,0.731577921023259,0.681757834917419,94.03768071,left
15,D02S,test,station,-134.2614441,167.0089417,0,0,0,0.0277452440139621,0.999615026615049,3.179778821,under
16,D03S,test,station,-80.28000641,171.4285889,0,0,0,0.0279792109963755,0.999608505241937,3.206599875,under
17,D04S,test,station,-5.420318127,139.3334961,0,0,0,-0.679137689002693,0.734010898676636,-85.55259143,right
18,D05S,test,station,-70.2616394768,107.44565565,0,0,0,-0.999261961159472,0.0384126669176459,-175.5971494,left
