id,name,description,node_type,x,y,z,qx,qy,qz,qw,yaw,position
1,H01S,test,station,-520.698486328125,133.632232666016,2.01237016,0,0,-0.998822631411061,0.048511348992622,-174.4388262,under
2,H02S,test,station,-521.4055201,137.2836357,1.945850846,0,0,-0.998822631411061,0.048511348992622,-174.4388262,top
3,H01N,test,station,-561.614929199219,153.773910522461,0,0,0,0.0548930249893764,0.998492241235512,6.293440628,top
4,H02N,test,station,-505.943542480469,158.765563964844,0,0,0,0.0548930249893764,0.998492241235512,6.293440628,top
5,H03N,test,station,-449.654479980469,163.522537231445,0,0,0,0.0548930249893764,0.998492241235512,6.293440628,top
6,H04N,test,station,-380.676788330078,168.932556152344,0,0,0,0.0478076739763803,0.998856559426311,5.480444908,top
7,H05N,test,station,-352.0283203125,111.343162536621,0,0,0,-0.680453206993647,0.732791534539027,-85.75813679,top
8,P01S,test,station,-492.5337398,78.24318992,1.633229208,0,0,0.0324153489884321,0.999474484491704,3.715176194,top
9,P02S,test,station,-446.5448666,81.87143206,1.624747337,0,0,0.0492037859885673,0.998788760171234,5.64061611,under
10,P03S,test,station,-394.9982955,87.70415182,1.812628312,0,0,0.050529503010441,0.998722568747457,5.792721338,top
11,P04S,test,station,-261.040496826172,-88.3000564575195,1.767044455,0,0,-0.99838024118941,0.0568937079348411,-173.476939,left
12,P05S,test,station,-364.6155893,88.53789722,1.717798651,0,0,0.0586537579826931,0.998278386360492,6.725085346,left
13,P06S,test,station,-586.602905273438,-109.963653564453,1.189936018,0,0,0.73183039700659,0.681486808395567,94.08012594,left
14,D01S,test,station,-204.797775268555,144.375762939453,2.02767684,0,0,0.731577921023259,0.681757834917419,94.03768071,under
15,D02S,test,station,-134.2614441,167.0089417,0,0,0,0.0277452440139621,0.999615026615049,3.179778821,under
16,D03S,test,station,-80.28000641,171.4285889,0,0,0,0.0279792109963755,0.999608505241937,3.206599875,right
17,D04S,test,station,-4.78262233734131,140.71516418457,2.112198557,0,0,-0.679137689002693,0.734010898676636,-85.55259143,left
18,D05S,test,station,-69.0088241,107.4099843,1.841144919,0,0,-0.999261961159472,0.0384126669176459,-175.5971494,under
19,D06S,test,station,-122.3932424,103.0937881,1.821384125,0,0,-0.998949169220926,0.0458318373275765,-174.7462179,right
20,D07S,test,station,-3.26854419708252,76.4984970092773,1.907457067,0,0,-0.677709411990026,0.735329825928564,-85.32981337,right
21,D08S,test,station,2.596708669,10.03739408,1.892455891,0,0,-0.674306251991013,0.738451811918579,-84.80059967,under
22,D09S,test,station,-59.14290609,-20.00454527,1.850021063,0,0,-0.999305488582304,0.0372631250606116,-175.7289716,under
23,D10S,test,station,-113.7057685,-24.3730772,1.838731448,0,0,-0.998610911280191,0.0526901117112831,-173.9593607,right
24,D11S,test,station,-190.2346064,61.42911707,1.807373243,0,0,-0.683711006982244,0.729752875247042,-86.26863857,right
25,D12S,test,station,-184.6977286,-2.281739654,1.808825462,0,0,-0.670540786010069,0.741872667172069,-84.21763331,under
26,D13S,test,station,-298.256561279297,-91.5034255981445,1.655683031,0,0,-0.999137993088046,0.0415122965877797,-175.2416739,under
27,D14S,test,station,-326.9838814,-94.08281152,1.730863086,0,0,-0.99938759424064,0.0349919487583305,-175.9893993,under
28,D15S,test,station,-408.1729347,78.59673181,1.749236377,0,0,-0.999420755391125,0.0340316572243153,-176.0995062,left
29,D16S,test,station,-595.4269504,60.40647995,1.389889458,0,0,0.738683656007193,0.674052265293906,95.23880732,under
30,D17S,test,station,-318.65922055064,148.986621505835,0,0,0,-0.999158973556589,0.0410042139461768,-175.2999455,right
31,D18S,test,station,-272.675628662109,5.36137247085571,1.667336082,0,0,0.747792350967695,0.663932677185126,96.79900938,right
32,D19S,test,station,-275.981048583984,45.2456092834473,1.688493604,0,0,0.739188276009884,0.673498843807126,95.32462995,right
33,D20S,test,station,-346.097198486328,55.1594352722168,2.178672908,0,0,0.738020438991937,0.674778357410897,95.1261185,left
34,D21S,test,station,-442.072202,44.05040881,1.467108669,0,0,-0.681902103983396,0.731443450024004,-85.98491912,left
35,D22S,test,station,-499.891723632813,44.56103515625,1.349546373,0,0,-0.685579367013406,0.727997892528198,-86.56237626,under
36,D0301N,test,station,-46.44895172,174.3506775,0,0,0,0.0472170649814252,0.998884652387121,5.412689582,left
37,D04A,test,station,-9.250069618,139.6334229,0,0,0,-0.681638684999753,0.731688938765516,-85.94365752,top
38,D05A,test,station,-70.57941139,111.3290557,0,0,0,-0.999261961159472,0.0384126669176459,-175.5971494,top
39,D06A,test,station,-124.8289178,106.8821611,0,0,0,-0.998949169220926,0.0458318373275765,-174.7462179,left
40,D0601N,test,station,-169.7788696,99.44789886,0,0,0,-0.99960204329668,0.0282091303854226,-176.7670429,left
41,D07A,test,station,-7.468642235,75.48867035,0,0,0,-0.672940630966249,0.739696496675999,-84.58886368,left
42,D08A,test,station,-1.93028152,11.80293941,0,0,0,-0.668188821004957,0.743991733478273,-83.85486116,under
43,D0801N,test,station,-21.7870197296143,-16.404541015625,0,0,0,-0.999105313590941,0.0422915163401296,-175.1523034,top
44,D09A,test,station,-65.14937592,-16.57766342,0,0,0,-0.999175936250795,0.040588772060114,-175.3475913,top
45,D10A,test,station,-119.2720795,-20.96955681,0,0,0,-0.998951751683324,0.0457755153856165,-174.7526787,under
46,D1001N,test,station,-167.1255646,-28.65904236,0,0,0,-0.998860568963712,0.0477238281101826,-174.5291741,left
47,D11A,test,station,-194.1721039,60.15076447,0,0,0,-0.684734107013371,0.72879297656646,-86.42939952,left
48,D12A,test,station,-188.8972931,-3.592179775,0,0,0,-0.678401999954678,0.734690905386403,-85.43779107,under
49,D1401N,test,station,-342.00244140625,6.42392635345459,0,0,0,0.735565115007461,0.677454029129698,94.70997835,right
50,D1402N,test,station,-344.614868164062,37.0787582397461,0,0,0,0.740407401005736,0.672158374593318,95.53226291,right
51,D1501N,test,station,-491.1383972,73.02693176,0,0,0,-0.999124117671501,0.0418449218800251,-175.2035247,under
52,D17A,test,station,-316.747467041016,159.823394775391,0,0,0,-0.998212590027539,0.0597630748080439,-173.1475729,top
53,D18A,test,station,-276.108703613281,1.81956601142883,0,0,0,0.739308576014331,0.673366786700727,95.34510024,top
54,D19A,test,station,-279.12109375,38.3792114257812,0,0,0,0.737317321967542,0.675546568880793,95.00678238,left
55,D1901N,test,station,-278.592498779297,73.6019973754883,0,0,0,0.739188276009884,0.673498843807126,95.32462995,left
56,D2201N,test,station,-567.629638671875,66.6933517456055,0,0,0,-0.999550027040256,0.0299957237589506,-176.5622276,under
57,D2202N,test,station,-579.0172729,-59.17831802,0,0,0,-0.674877269023457,0.737929991093627,-84.88924033,under
58,D2203N,test,station,-574.9590454,-112.2962189,0,0,0,-0.674877269023457,0.737929991093627,-84.88924033,right
59,P0401N,test,station,-268.340209960937,-45.9598159790039,0,0,0,0.73725055199918,0.675619436944279,94.99545694,left
60,P0501N,test,station,-361.2113647,125.8203659,0,0,0,0.741238914039603,0.671241292169507,95.67411848,left
61,P0502N,test,station,-412.5950317,150.9276123,0,0,0,-0.999334213240723,0.0364846576870928,-175.8182381,under
62,P0503N,test,station,-467.4311218,146.3517609,0,0,0,-0.999334213240723,0.0364846576870928,-175.8182381,top
63,P0504N,test,station,-299.473297119141,93.9534530639648,0,0,0,0.0376449569870352,0.999291177391977,4.314813838,left
64,P0505N,test,station,-249.487152099609,98.0072479248047,0,0,0,0.0467891600242957,0.998904787506908,5.36360103,left
65,P0601N,test,station,-590.6154175,-7.062565327,0,0,0,0.736008877966436,0.676971883873022,94.78506771,center
66,J0910C,test,junction,-195.6611938,92.20555878,0,0,0,-0.682843012684435,0.730565137429952,-86.13241508,center
67,J0203C,test,junction,-361.5474243,159.0423279,0,0,0,-0.414578313018616,0.91001363856518,-48.98552731,center
68,J0305C,test,junction,-359.2664185,84.30021667,0,0,0,-0.996656110794223,0.0817104449659454,-170.6262221,center
69,O02C,u-turn หน้า office 2,junction,-459.7183228,75.59844208,0,0,0,-0.999011039344616,0.044462830179714,-174.9032547,left
70,O01C,u-turn หน้า office 1,junction,-520.8445435,70.6365509,0,0,0,-0.998865216550679,0.0476264544677227,-174.540345,under
71,D1112C,จุดแยก D11 D12,junction,-188.236908,35.67054367,0,0,0,-0.677480458543728,0.735540772691344,-85.29413908,under
72,D0506C,จุดแยก D05 D06,junction,-92.34674835,105.6716614,0,0,0,-0.999154319472861,0.0411174644004636,-175.286957,right
73,D0910C,จุดแยก D09 D10,junction,-82.81361389,-21.77455139,0,0,0,-0.999455829715072,0.0329855187704658,-176.2194522,left
74,D0407C,จุดแยก D04 D07,junction,-4.359672546,127.274353,0,0,0,-0.683852979766622,0.729619833930186,-86.29093429,left
75,D0708C,จุดแยก D07 D08,junction,-1.27281665802002,52.8863105773926,0,0,0,-0.680753649749318,0.732512435630265,-85.805128,right*2
76,D1819C,จุดแยก D18 D19,junction,-273.4482421875,16.4232597351074,0,0,0,0.739005456082345,0.673699440314838,95.29352893,right*3
77,P07S,จุดเดียวกับ D18S,station,-272.675628662109,5.36137247085571,1.667336082,0,0,0.747792350967695,0.663932677185126,96.79900938,under
78,P08S,จุดเดียวกับ D19S,station,-275.981048583984,45.2456092834473,1.688493604,0,0,0.739188276009884,0.673498843807126,95.32462995,left
79,D0401N,จุดหัวโค้ง D04 -> D05,station,-33.7126770019531,110.859031677246,0,0,0,-0.999148075152866,0.0412689219428312,-175.2695865,left
80,D0117N,test,station,-259.111450195312,164.240844726563,0,0,0,-0.999681992462253,0.0252173342504539,-177.11,right*2
