start_node,mode,reserve,release,to_node,is_bidirectional,path_weight
D0117N,station,D0117N|D17S,D0117N,D17S,FALSE,1
D0117N,station,D0117N|D17A,D0117N,D17A,FALSE,2
D01S,station,D01S|D0117N,D01S,D0117N,FALSE,1
D01S,station,D01S|D02S,D01S,D02S,FALSE,1
D02S,station,D02S|D03S,D02S,D03S,FALSE,1
D0301N,station,D0301N|D04S,D0301N,D04S,FALSE,1
D0301N,station,D0301N|D04A,D0301N,D04A,FALSE,2
D03S,station,D03S|D0301N,D03S,D0301N,FALSE,1
D0401N,station,D0401N|D05A|D0407C,D0401N|D0407C,D05A,FALSE,2
D0401N,station,D0401N|D05S|D0407C,D0401N|D0407C,D05S,FALSE,1
D04A,station,D04A|D0401N,D04A,D0401N,FALSE,1
D04A,station,D04A|D07A|D0407C,D04A|D0407C,D07A,FALSE,2
D04A,station,D04A|D07S|D0407C,D04A|D0407C,D07S,FALSE,1
D04S,station,D04S|D07S|D0407C,D04S|D0407C,D07S,FALSE,1
D04S,station,D04S|D0401N|D0407C,D04S|D0407C,D0401N,FALSE,1
D04S,station,D04S|D07A|D0407C,D04S|D0407C,D07A,FALSE,2
D05A,station,D05A|D06S|D0506C,D05A|D0506C,D06S,FALSE,1
D05A,station,D05A|D06A|D0506C,D05A|D0506C,D06A,FALSE,2
D05S,station,D05S|D06A|D0506C,D05S|D0506C,D06A,FALSE,2
D05S,station,D05S|D06S|D0506C,D05S|D0506C,D06S,FALSE,1
D0601N,station,D0601N|D11S|J0910C,D0601N|J0910C,D11S,FALSE,1
D0601N,station,D0601N|D11A|J0910C,D0601N|J0910C,D11A,FALSE,2
D06A,station,D06A|D0601N,D06A,D0601N,FALSE,1
D06S,station,D06S|D0601N,D06S,D0601N,FALSE,1
D07A,station,D07A|D08A|D0708C,D07A|D0708C,D08A,FALSE,2
D07A,station,D07A|D08S|D0708C,D07A|D0708C,D08S,FALSE,1
D07S,station,D07S|D08A|D0708C,D07S|D0708C,D08A,FALSE,2
D07S,station,D07S|D08S|D0708C,D07S|D0708C,D08S,FALSE,1
D0801N,station,D0801N|D09A,D0801N,D09A,FALSE,2
D0801N,station,D0801N|D09S,D0801N,D09S,FALSE,1
D08A,station,D08A|D0801N,D08A,D0801N,FALSE,1
D08S,station,D08S|D0801N,D08S,D0801N,FALSE,1
D09A,station,D09A|D10A|D0910C,D09A|D0910C,D10A,FALSE,2
D09A,station,D09A|D10S|D0910C,D09A|D0910C,D10S,FALSE,1
D09S,station,D09S|D10A|D0910C,D09S|D0910C,D10A,FALSE,2
D09S,station,D09S|D10S|D0910C,D09S|D0910C,D10S,FALSE,1
D1001N,station,D1001N|P04S,D1001N,P04S,FALSE,1
D10A,station,D10A|D1001N,D10A,D1001N,FALSE,1
D10S,station,D10S|D1001N,D10S,D1001N,FALSE,1
D11A,station,D11A|D12S|D1112C,D11A|D1112C,D12S,FALSE,1
D11A,station,D11A|D12A|D1112C,D11A|D1112C,D12A,FALSE,2
D11S,station,D11S|D12A|D1112C,D11S|D1112C,D12A,FALSE,2
D11S,station,D11S|D12S|D1112C,D11S|D1112C,D12S,FALSE,1
D12A,station,D12A|P04S,D12A,P04S,FALSE,1
D12S,station,D12S|P04S,D12S,P04S,FALSE,1
D13S,station,D13S|D14S,D13S,D14S,FALSE,1
D1401N,station,D1401N|D1402N,D1401N,D1402N,FALSE,1
D1402N,station,D1402N|D20S,D1402N,D20S,FALSE,1
D14S,station,D14S|D1401N,D14S,D1401N,FALSE,1
D1501N,station,D1501N|P01S|O01C,D1501N|O01C,P01S,FALSE,1
D1501N,station,D1501N|D2201N|O01C,D1501N|O01C,D2201N,FALSE,1
D1501N,station,D1501N|D22S,D1501N,D22S,FALSE,1
D15S,station,D15S|D21S,D15S,D21S,FALSE,1
D15S,station,D15S|P02S|P03S|O02C,D15S|P02S|O02C,P03S,FALSE,1
D15S,station,D15S|D1501N|O02C,D15S|O02C,D1501N,FALSE,1
D16S,station,D16S|D2201N,D16S,D2201N,FALSE,1
D16S,station,D16S|P01S,D16S,P01S,FALSE,1
D17A,station,D17A|P0502N|J0203C,D17A|J0203C,P0502N,FALSE,1
D17A,station,D17A|H05N,D17A,H05N,FALSE,1
D17S,station,D17S|P0502N|J0203C,D17S|J0203C,P0502N,FALSE,1
D17S,station,D17S|H05N,D17S,H05N,FALSE,1
D18A,station,D18A|D19A|D1819C,D18A|D1819C,D19A,FALSE,2
D18A,station,D18A|D19S|P08S|D1819C,D18A|D1819C,P08S,FALSE,4
D18A,station,D18A|D19S|D1819C|P08S,D18A|D1819C,D19S,FALSE,1
D18S,station,P07S|D19S|D1819C|D18S|P08S,P07S|D1819C|D18S,P08S,FALSE,4
D18S,station,D18S|D19A|D1819C|P07S,D18S|D1819C|P07S,D19A,FALSE,2
D18S,station,D18S|D19S|D1819C|P07S|P08S,D18S|D1819C|P07S,D19S,FALSE,1
D1901N,station,D1901N|D15S,D1901N,D15S,FALSE,1
D19A,station,D19A|D1901N,D19A,D1901N,FALSE,1
D19S,station,D19S|D1901N|P08S,D19S|P08S,D1901N,FALSE,1
D20S,station,D20S|D15S,D20S,D15S,FALSE,1
D21S,station,D21S|D1501N|O02C,D21S|O02C,D1501N,FALSE,1
D21S,station,D21S|P02S|P03S|O02C,D21S|P02S|O02C,P03S,FALSE,1
D2201N,station,D2201N|D2202N,D2201N,D2202N,FALSE,1
D2202N,station,D2202N|D2203N,D2202N,D2203N,FALSE,1
D2203N,station,D2203N|P06S,D2203N,P06S,FALSE,1
D22S,station,D22S|D2201N|O01C,D22S|O01C,D2201N,FALSE,1
D22S,station,D22S|P01S|O01C,D22S|O01C,P01S,FALSE,1
H01N,station,H01N|H02N,H01N,H02N,FALSE,1
H01S,station,H01S|H01N,H01S,H01N,FALSE,1
H02N,station,H02N|H03N,H02N,H03N,FALSE,1
H02S,station,H02S|H01N,H02S,H01N,FALSE,1
H03N,station,H03N|H04N,H03N,H04N,FALSE,1
