x,y,yaw,left_x,left_y,right_x,right_y
-278.8361355891041,33.58981236106548,1.644172375670949,-279.8108,27.4834,-276.9882,27.7278
-278.9827500602591,35.58434944259699,1.645855261998749,-280.7128,39.8033,-277.8857,40.0101
-279.13269276744114,37.57826284363042,1.642853481246764,-281.213,47.575,-278.4198,47.7621
-279.2766979888306,39.57328887431702,1.6357284069787814,-281.29,48.8945,-278.3861,48.6484
-279.4065749559227,41.57067425594421,1.6381673228642422,-281.2281,50.0833,-278.2828,49.4252
-279.5411559884982,43.56526190276712,1.6490882766214832,-281.0486,50.9195,-278.0845,50.0847
-279.69711898065265,45.553259354469304,1.6285756169353593,-279.3161,55.4312,-276.2809,54.6507
-279.8128775376571,47.55449042069829,1.5295906109320214,-278.98,56.4379,-275.9093,55.8441
-279.73009632191645,49.56232736737197,1.333375417230406,-278.7534,57.2824,-275.772,56.8819
-279.2633487501565,51.49115686703982,1.1681558972403352,-278.6301,58.1477,-275.7496,57.9282
-278.4763136908739,53.33905121666144,1.1883298475023205,-278.7784,60.0274,-275.9035,60.3079
-277.72296877240075,55.211760114201276,1.3479094134200718,-280.4767451551906,76.509473023466,-277.3950710575231,76.80753237747454
-277.28355140489043,57.15048591961579,1.5610463519707642,,,,
-277.26405866572065,59.14968302981091,1.6533601645025442,,,,
-277.4301142288194,61.156349317313534,1.6681632002868148,,,,
-277.6244672662599,63.146127425767105,1.6692441449301323,,,,
-277.8205462183071,65.13139314426793,1.6635189255523894,,,,
-278.00556662653327,67.12109004768371,1.6604519412016134,,,,
-278.18469422308425,69.11368571598807,1.6600080119125433,,,,
-278.3630088080111,71.10716091237025,1.662155319930768,,,,
-278.545536371748,73.09951497282249,1.6639864203218253,,,,
-278.592498779297,73.6019973754883,1.6639864203218253,,,,
