x,y,yaw,left_x,left_y,right_x,right_y
-463.6245040723991,146.74475607012843,-3.058114202588191,-457.0287362203238,145.8716440757621,-457.26555667440766,148.7017423641801
-465.61753781176185,146.57799314978212,-3.057954918474458,-472.9209,144.5418,-473.1577,147.3719
-467.6105869238806,146.41090925523375,-3.0580027559337912,-479.7231,143.9536,-479.9709,146.7664
-469.60363141906424,146.2439217596054,-3.0585199879883964,-481.9992,143.7568,-482.2455,146.5642
-471.5966224450695,146.0779767742859,-3.0577413486098526,-483.9281,143.5134,-484.4566,146.3677
-473.58943816880577,145.91048384122792,-3.0527846857182706,-486.0204,142.8772,-486.4684,145.8101
-475.5818398685947,145.73307605316535,-3.0481022339682147,-487.594,142.0049,-488.3452,144.8942
-477.5738652626641,145.546296265489,-3.0582227799502903,-488.2994,141.4708,-489.3265,144.293
-479.5664374002993,145.37978982963514,-3.0698927093741966,-489.1746,140.8478,-490.032,143.7588
-481.5594893371308,145.2366427320544,-3.0310748129663234,-490.0268,140.3365,-490.7097,143.2727
-483.54934826766015,145.01582806266043,-2.9161964733508485,-490.9397,139.8541,-491.4699,142.7633
-485.5107951011219,144.56608332498274,-2.7393405440430616,-491.877,139.424,-492.2237,142.3164
-487.3486424398627,143.78417037204207,-2.5714457029772775,-492.8356,139.0473,-493.0025,141.9117
-489.0332316370697,142.70405238557095,-2.5603859197375485,-493.8125,138.7252,-493.8038,141.5506
-490.710037772799,141.60256760138714,-2.647859953281669,-494.8045,138.4583,-494.6252,141.2342
-492.46973328337646,140.65551285385524,-2.7753696587690686,-495.8087,138.2476,-495.4643,140.9639
-494.34027780464226,139.93811359881025,-2.9076844642994915,-496.7874,138.0989,-496.3183,140.7404
-496.2903529974796,139.47346994784638,-3.0249401350010148,-503.5786,137.5349,-503.7536,140.0766
-498.2763020317347,139.2407474176635,-3.071901881053519,-524.356347715468,135.65873335832305,-524.5854145634082,138.19555128843197
-500.2730853901548,139.10136431760836,-3.0581080174611355,,,,
-502.266277378151,138.93457574167599,-3.0500083403441876,,,,
-504.2575510797587,138.75169470482038,-3.051799143972427,,,,
-506.2494645166755,138.5723515400401,-3.0515331600866418,,,,
-508.2414697481917,138.39246596126716,-3.0499086398089004,,,,
-510.2331155273345,138.20935050748142,-3.052487571348101,,,,
-512.2251441875521,138.03137936696368,-3.063101027708811,,,,
-514.2190101218905,137.87455539484773,-3.067335862636692,,,,
-516.2136092247966,137.72617003010402,-3.064554356589501,,,,
-518.2077134408464,137.5722430029093,-3.055485934610786,,,,
-520.2002228519858,137.40024926983276,-3.045141975345933,,,,
-521.4055201,137.2836357,-3.045141975345933,,,,
