x,y,yaw,left_x,left_y,right_x,right_y
-517.6095437842602,133.89741292929364,-3.0519666401741663,-511.03706743559366,133.37772236226328,-511.2308458130688,135.5594296056953
-519.6011420480767,133.71843442557477,-3.045319822082536,-523.99,132.2272,-524.1962,134.4079
-521.5891674817042,133.52644808202206,-3.05483025269911,-526.2555,132.0955,-525.6573,134.3892
-523.5823076315794,133.35308322514126,-3.091242505799413,-527.8309,132.1291,-527.1186,134.4946
-525.5900019330431,133.25191000989153,3.1029546982696425,-529.4082,132.2469,-528.4744,134.7383
-527.5901353101657,133.32922955434702,2.951994958438439,-530.6266,132.5015,-529.8797,135.1812
-529.5465558012587,133.7046718994646,2.8257503933081316,-532.7012,133.3113,-531.6417,135.8835
-531.4536867986144,134.32788681666239,2.7768696246995757,-537.9658,135.3605,-537.2048,138.0363
-533.3266556393049,135.04299508248397,2.769586140771094,-539.6402,135.7683,-539.1415,138.5287
-535.1879491542933,135.769222173025,2.7816760181700566,-541.3071,135.946,-541.1725,138.7712
-537.064968860486,136.47555910215348,2.850661388118592,-542.9854,135.9517,-543.2222,138.7818
-538.9819131374247,137.04954448152245,2.9947033425999874,-578.2667,132.9965,-578.5036,135.8266
-540.9559212458056,137.34160877230707,3.12665400255841,-581.0518,132.8449,-580.7758,135.6714
-542.962536720927,137.37158713070033,-3.078503964084883,-583.2124,133.1816,-582.4243,135.9403
-544.9610661427038,137.2453349818726,-3.045074000771425,-585.3148,134.0521,-583.876,136.5679
-546.9506066077737,137.0527086853857,-3.049437137590462,-587.1512,135.4017,-585.1329,137.522
-548.9413171618921,136.8687326178378,-3.0605112776940278,-588.6142,137.1537,-586.1233,138.7461
-550.9350055225101,136.70672644699954,-3.061115984845089,-589.6178,139.2076,-586.7911,140.1682
-552.9288629956807,136.5459201359109,-3.0577556502727683,-590.0974,141.4456,-587.1086,141.7044
-554.9218156082109,136.37844440141916,-3.0570410041491343,-590.3835,144.7505,-587.3947,145.0093
-556.914554658224,136.2095523672173,-3.0579671966652633,-590.2553,147.026,-587.3145,146.4332
-558.9075347319155,136.0424989025298,-3.0582976340979227,-589.4921,149.1734,-586.8368,147.7771
-560.9006684383196,135.87609577517614,-3.0580492668652846,-588.1554,151.0193,-586.0004,148.9323
-562.8938011190986,135.70919424376638,-3.0579828766686026,-586.3534,152.4145,-584.8726,149.8054
-564.8867365405204,135.54217599062238,-3.0581577386485246,-584.3347,153.2181,-583.4416,150.3541
-566.8793960341808,135.37553174409447,-3.058026711002272,-582.0278,153.4479,-581.7422,150.511
-568.8724571376854,135.20859093591432,-3.0574894522565903,-575.2145,154.1265,-574.9498,151.1382
-570.866665813172,135.0404750343522,-3.0578012179746588,-558.6788524315893,155.59136352455621,-558.4141244865542,152.6030645179552
-572.8601647108952,134.873044873636,-3.059693585412807,,,,
-574.8495973028824,134.70974693012053,-3.0596384612146714,,,,
-576.8391594002974,134.54632794400945,-3.0583606383938426,,,,
-578.8407785976137,134.37934336733713,-3.1109553442094664,,,,
-580.8471516383534,134.31785425574154,2.9901846934446357,,,,
-582.817423644094,134.61846977998576,2.7347742699330433,,,,
-584.6671745822123,135.41544196020166,2.487727652848854,,,,
-586.2727075074823,136.64579560125264,2.2294856662855174,,,,
-587.4998792634907,138.23127464380897,1.9608236940083839,,,,
-588.2595324055521,140.0791883802677,1.7825637899815476,,,,
-588.6829075981774,142.04845866248064,1.6703057096703557,,,,
-588.8815501791719,144.03808498037054,1.541144676082089,,,,
-588.8217935872146,146.05278151237388,1.3382463880698015,,,,
-588.3588403484708,148.00753400616108,1.0239276798653576,,,,
-587.3087099445241,149.73243828239896,0.6877806064356112,,,,
-585.7441427998897,151.0179049881299,0.34718868054170254,,,,
-583.871286436652,151.69559026562848,0.14165583614057153,,,,
-581.8696575152902,151.9810445878385,0.09740162387018282,,,,
-579.8743688741946,152.17600586938616,0.09358176095619773,,,,
-577.8892744482009,152.36231870029897,0.09611201599697386,,,,
-575.8981243099812,152.55428361178414,0.09474972714789066,,,,
-573.9055770677381,152.7436439201576,0.08970702431200803,,,,
-571.9137144682093,152.9228088458025,0.08181533215638208,,,,
-569.9209543539847,153.0862119323184,0.07034137769714777,,,,
-567.9257573300786,153.2267887700925,0.0716765337948034,,,,
-565.9305757231883,153.37004187819505,0.08214727244408745,,,,
-563.9372863807295,153.5341544805365,0.10138867222777248,,,,
-561.9476930666724,153.7365707711208,0.11174352072468574,,,,
-561.614929199219,153.773910522461,0.11174352072468574,,,,
