x,y,yaw,left_x,left_y,right_x,right_y
-65.44818102102816,107.75691895462792,-3.0577427075491013,-56.86087689393633,107.0776178952318,-57.09539135332864,109.86285591420676
-67.4411514429054,107.58941574689919,-3.0577977947600687,-75.9587,105.4692,-76.1877,108.2557
-69.43413004852032,107.42202241400176,-3.0573071791700226,-90.3388,104.3382,-90.5803,107.1155
-71.42703576814107,107.25365051402173,-3.056696182053182,-92.8537,104.1306,-93.0849,106.9047
-73.4198507168551,107.08405992419121,-3.0578021363012398,-95.613,103.903,-95.7927,106.677
-75.41282996744756,106.91667525075987,-3.060869240705342,-98.9232,103.7108,-98.6012,106.4719
-77.40626724299882,106.75540775074943,-3.063255432216114,-99.8669,103.7435,-99.3335,106.6347
-79.40011120121967,106.59889526637431,-3.0632919788467636,-100.8985,103.9232,-99.9374,106.8706
-81.39409014124433,106.44244550825643,-3.062358205189919,-101.8081,104.1982,-100.5939,107.224
-83.38798437028342,106.28412895115822,-3.063073833744209,-102.8401,104.77,-101.0309,107.4823
-85.38167780933095,106.12726399440585,-3.0649577067805507,-103.2298,105.0361,-101.9118,108.0429
-87.37514997461174,105.97419458912601,-3.0632757150248078,-104.5782,105.7996,-103.5882,108.9283
-89.3688982056402,105.81773030706034,-3.0580748131266415,-106.2714,106.3979,-105.582,109.6648
-91.36303902490214,105.65079565580263,-3.0601958803862677,-107.8069,106.7033,-107.6567,109.7149
-93.35524323955491,105.48827758491355,-3.0603425878573844,-109.2853,106.8237,-109.5159,109.6089
-95.34767451924453,105.32603523700284,-3.0286182542157793,-127.2639,105.3237,-127.4981,108.1087
-97.35354966868397,105.09845364768438,3.1084437276826673,-127.79005525985237,105.27015802578842,-128.02284378407614,108.05965603913504
-99.33248095167592,105.16407713273766,2.823246167892607,,,,
-101.23507561061639,105.79108729979927,2.659575246897988,,,,
-103.03658878092065,106.73359888786482,2.6749317082618833,,,,
-104.81967938904364,107.63187066147303,2.8830927886479136,,,,
-106.72581293333701,108.13588265043313,3.0922544558484777,,,,
-108.74218362974997,108.2354475485615,-3.0923482841623,,,,
-110.75909814075364,108.13604550203492,-3.051811322322207,,,,
-112.74734019620244,107.95705730213295,-3.043509898892282,,,,
-114.72985701178625,107.76198062944655,-3.0518677503326574,,,,
-116.71894319786762,107.58302958730025,-3.0564272078335075,,,,
-118.7121977165621,107.4128615603802,-3.057848668839126,,,,
-120.7073915176876,107.24538438908672,-3.0561437401856586,,,,
-122.70229555106202,107.0745059138202,-3.0515290392174346,,,,
-124.69481299319148,106.89456580263386,-3.0515290392174346,,,,
