x,y,yaw,left_x,left_y,right_x,right_y
-312.60586055858965,160.14474851026995,-3.0628557310877085,-305.99537730870884,158.98564810369618,-306.255680956178,162.32631637660276
-314.59980803086256,159.98742598106404,-3.075080336411155,-320.0359,157.8916,-320.2962,161.2323
-316.59386289059483,159.85460084611597,-3.0740474003748046,-321.2379,157.742,-321.7785,161.0818
-318.5879086832321,159.71970731136224,-3.034279282772891,-322.3038,157.4686,-323.3955,160.689
-320.58056918999745,159.505043528019,-2.9499805931155962,-323.4297,157.0836,-324.858,160.152
-322.5512918981586,159.1227390035468,-2.8211681476247605,-325.2046,156.2524,-326.7499,159.2774
-324.4475168143992,158.49345667212916,-2.692296124754498,-332.7564,152.3944,-334.5904,155.2734
-326.25032689013483,157.62416375690324,-2.663702907340736,-334.1511,151.677,-335.744,154.6929
-328.0282197552017,156.70333690340368,-2.675457046759607,-335.2397,151.2083,-336.2328,154.4712
-329.8123689902472,155.80570666394982,-2.6935063424150103,-336.058,150.9398,-337.0619,154.2384
-331.6097124645921,154.94172903099184,-2.6562982725637903,-347.1108,149.6264,-347.3775,153.0641
-333.38210201059513,154.0070437113524,-2.667886286799027,-348.4409,149.4258,-348.7247,152.9424
-335.1631663603614,153.09400345706428,-2.8734226748875553,-349.5519,149.1957,-350.62,152.6955
-337.08696835722367,152.56536394726402,-3.007525001050071,-350.7974,148.6777,-352.1575,152.2878
-339.0880189466786,152.2954688071996,-3.028989939899559,-351.9496,147.7337,-353.5534,151.5156
-341.08030842513574,152.07017862032956,-3.022483744569595,-352.7631,146.7288,-354.5335,150.6907
-343.0607232865727,151.8331717049471,-3.013496291523831,-353.2059,145.3668,-355.3564,149.7101
-345.04287073881727,151.5778678979894,-3.033817755717607,-353.1991,143.5009,-355.9978,148.6032
-347.0326828639391,151.36258190688457,-3.0282473361742204,-352.1087,129.2874,-356.4387,147.4032
-349.02852214258775,151.13538910853978,-2.908146370239664,-350.6369,110.8752,-356.6459,146.2907
-350.98846222680913,150.6693515530421,-2.624183904050592,-350.4076117678189,108.37799243700464,-356.6923,144.8699
-352.72559450106456,149.68070408477942,-2.294644910178858,,,-356.5677,143.2463
-354.06576936753476,148.16449781316948,-1.9459579764117823,,,-354.9702,129.0678
-354.8013009467026,146.29678128461592,-1.6429507057221364,,,-353.465,110.6155
-354.94571894842477,144.29874192490578,-1.4929574588634142,,,-353.23856606332953,108.14937893572483
-354.79015005864795,142.3041783430413,-1.475589637370847,,,,
-354.6000296469567,140.3132927404157,-1.4728823605411185,,,,
-354.4045445454929,138.32317841234652,-1.4762263994333265,,,,
-354.2156931380077,136.33218528090504,-1.4770665559479128,,,,
-354.0284997682465,134.3408770197628,-1.4748590853717807,,,,
-353.8369122447783,132.34999869085905,-1.475604300928784,,,,
-353.6468160378055,130.35905805157904,-1.4820011848980637,,,,
-353.4694649393446,128.3670037940965,-1.4897328627887432,,,,
-353.307515887033,126.37357603984793,-1.4932738768062026,,,,
-353.1526220070644,124.37952830971089,-1.4925896744757747,,,,
-352.99636575657615,122.38561159196807,-1.4886691328409791,,,,
-352.8322972207427,120.39236808756243,-1.4794649225089858,,,,
-352.64988514329406,118.40066978451262,-1.4756525709692807,,,,
-352.4598755224543,116.40962024735094,-1.4785301712246517,,,,
-352.2756030403941,114.4181069197862,-1.4872996532231175,,,,
-352.1088099250904,112.42514938390406,-1.4965425329366098,,,,
-352.0283203125,111.343162536621,-1.4965425329366098,,,,
