x,y,yaw,left_x,left_y,right_x,right_y
-256.1069827696804,-87.89973199260368,-3.0627193226380767,-247.52064952921896,-88.62065509353206,-247.7451913038322,-85.8174807230145
-258.1007809250289,-88.05731640763871,-3.064398881907812,-262.8058,-89.86,-263.0278,-87.0267
-260.09487080293354,-88.21155420959566,-3.061265859672491,-274.4949,-90.9545,-274.7159,-88.1354
-262.08841651282796,-88.37203465457522,-3.0529268150078988,-294.2096,-92.553,-294.4255,-89.6949
-264.08051391080215,-88.54912997032122,-3.046348865342474,-301.19968555931655,-93.19336363675875,-301.46443045929107,-90.37026377410179
-266.0714688328407,-88.73933153762196,-3.0467596370657466,,,,
-268.06249507953686,-88.92871462963384,-3.048038382753996,,,,
-270.0537434450544,-89.11554982238815,-3.046162233720215,,,,
-272.0446660286995,-89.30612326724574,-3.047581731528224,,,,
-274.0358350797223,-89.49386833218342,-3.0558684180356788,,,,
-276.0284429256171,-89.66510276917164,-3.0628085717934055,,,,
-278.0222563506626,-89.8225093345699,-3.0639408262952097,,,,
-280.0162676879576,-89.97765992665735,-3.061762177309973,,,,
-282.0099013434604,-90.13715160336893,-3.0611705900963395,,,,
-284.0034294168248,-90.29782178339487,-3.0623609736892314,,,,
-285.9971589087283,-90.45611970581663,-3.062217690075229,,,,
-287.99086718602535,-90.61470341368695,-3.0588587569625774,,,,
-289.98401188964476,-90.77998131719835,-3.054034318888837,,,,
-291.97634568332234,-90.95487391074194,-3.0524158990350294,,,,
-293.9684101173257,-91.13299216376372,-3.053403167108955,,,,
-295.9606448086912,-91.30914321998901,-3.0569035556654067,,,,
-297.9534737005069,-91.47831875069983,-3.0589444122849963,,,,
-298.256561279297,-91.5034255981445,-3.0589444122849963,,,,
