x,y,yaw,left_x,left_y,right_x,right_y
-9.496255439606324,143.76213044716653,-1.482659244553671,-8.685724086618638,150.35947647747724,-11.454842166381267,150.113951370756
-9.320208253924191,141.7698805156292,-1.4834185887257105,-7.9356,141.8992,-10.7047,141.6537
-9.145668942422395,139.77744063150848,-1.485589445716875,-7.6862,138.9645,-10.4553,138.7189
-8.97546425304648,137.78473088422533,-1.4888040765619721,-7.5661,137.6101,-10.3352,137.3646
-8.811678461980835,135.7916327946822,-1.4896735075201566,-6.7348,127.1689,-9.4649,126.9474
-8.649592522650682,133.79798628525387,-1.488696496957721,-6.5073,124.3111,-9.2703,124.6176
-8.48553000830126,131.8041486092038,-1.4914077649728816,-6.6369,122.8244,-9.4488,123.3268
-8.327048056969092,129.81206232816578,-1.4908051947310972,-6.9824,121.2728,-9.776,122.166
-8.16732013541335,127.81950271971542,-1.4826317561533355,-7.532,119.7759,-10.252,121.0633
-7.9905068951257485,125.8192107790418,-1.5565502986089523,-8.2771,118.3603,-10.8672,120.0378
-7.9620434679368755,123.8213555700712,-1.7585362897262633,-9.2059,117.0517,-11.6096,119.1066
-8.335226054876541,121.85700120573183,-1.9664134221711103,-10.3032,115.8737,-12.465,118.2854
-9.111450111015726,119.99838901847204,-2.156781400771178,-11.4618,114.913,-13.5063,117.5228
-10.221569550359987,118.32590873310319,-2.3516809246228907,-12.9414,114.0294,-14.4352,116.9891
-11.629689330954493,116.90501995014924,-2.5285748978527134,-14.1357,113.4501,-15.5513,116.4071
-13.270109697097658,115.75111502629952,-2.662788368292393,-15.0463,113.0505,-16.3754,116.0166
-15.046514553625173,114.82899748905658,-2.7313818126737948,-16.3785,112.4795,-17.5312,115.5185
-16.882828817279602,114.03041765814073,-2.7852969631765987,-17.6905,112.0236,-18.7512,115.0141
-18.758419609947154,113.33236104964116,-2.857463961238122,-19.0527,111.6141,-19.9601,114.5738
-20.6767729688718,112.77214480154892,-2.9247816106945477,-20.4298,111.2645,-21.1887,114.1859
-22.63045385810721,112.34180092168236,-2.9639925632243607,-21.819,110.9753,-22.4345,113.8513
-24.601883078379323,111.98794666813477,-2.9812613790369453,-23.1874,110.7523,-23.7258,113.5651
-26.57827329650752,111.6683260655127,-3.0020835129394836,-32.6376,109.541,-32.9268,112.3902
-28.559372270097768,111.39013752809636,-3.0228214868807646,-36.63222979117872,109.12248010677536,-36.89550679944032,112.10521618824426
-30.54500515196192,111.15318635379752,-3.043461971366603,,,,
-32.53499709491183,110.95727784052801,-3.0583618914079267,,,,
-33.7126770019531,110.859031677246,-3.0583618914079267,,,,
