x,y,yaw,left_x,left_y,right_x,right_y
-55.334919931867006,-19.541264152068795,-3.0620621695871146,-48.74473852559944,-20.411139881399166,-48.96572427128981,-17.638507536569335
-57.32859715603726,-19.700157413143234,-3.0620460777754444,-82.8215,-23.133,-83.0154,-20.3465
-59.32227595597904,-19.85908308552955,-3.0620347944431323,-84.664,-23.262,-84.8945,-20.4767
-61.31595586083159,-20.018031484312363,-3.0620725022718687,-88.4042,-23.4256,-88.0297,-20.656
-63.309632073189434,-20.176903933887452,-3.0621443270681987,-89.5029,-23.3535,-88.9094,-20.4607
-65.3033012522879,-20.335631719619386,-3.0620868564788712,-90.5835,-23.1397,-89.7526,-20.1413
-67.29697605903635,-20.49447525786824,-3.0618325798712687,-91.7289,-22.6622,-90.441,-19.8299
-69.29067576612512,-20.653830959643738,-3.061772495444627,-94.2582,-21.3359,-92.7192,-18.6815
-71.28438135729165,-20.813307688280183,-3.0624430409677736,-95.6425,-20.8914,-94.2045,-18.1283
-73.27802128699032,-20.97143385670251,-3.0633213643408133,-96.9682,-20.6956,-94.9031,-17.9533
-75.27157522620013,-21.127791326725834,-3.061981874712173,-98.0895,-20.6719,-95.9428,-17.7716
-77.26526031321553,-21.286846315007633,-3.058191437561946,-99.5538,-20.7161,-96.994,-17.7391
-79.25931676440939,-21.453539720472737,-3.0590284305986812,-107.3001,-21.3516,-99.7837,-17.8956
-81.25329118029732,-21.618545779858785,-3.0693113538305,-122.22984776708881,-22.6095412568548,-107.53,-18.5311
-83.24651257862067,-21.762869845337462,-3.0641634942441747,,,-122.4677824063739,-19.828729164931378
-85.24335095264304,-21.91779308826838,-3.0727973063168386,,,,
-87.24322050799651,-22.055592269431287,3.0333344406350267,,,,
-89.22082417727694,-21.84066011662403,2.829747968371833,,,,
-91.13715486233727,-21.222906625416464,2.6881305080447535,,,,
-92.9582168543006,-20.335444394616324,2.7432300338603515,,,,
-94.78941872169369,-19.564756566493998,2.9664952552170143,,,,
-96.72917037494001,-19.221596920947203,-3.1316769007488734,,,,
-98.7501568010767,-19.241637179648404,-3.0673378540356664,,,,
-100.76937133240261,-19.39184973088085,-3.0591838899829975,,,,
-102.759850513928,-19.556254997742748,-3.057637557080289,,,,
-104.7443295392938,-19.72325467374632,-3.058841769351593,,,,
-106.73665133939727,-19.888498417039735,-3.0589798045299164,,,,
-108.73256990243868,-20.053763077847695,-3.0588325699351717,,,,
-110.72717257188513,-20.21921447252096,-3.057256470675014,,,,
-112.72021126323021,-20.38769939250669,-3.0554438825516925,,,,
-114.71220722729856,-20.55973319675393,-3.0533960882652496,,,,
-116.70368171491481,-20.735831244211727,-3.0511227863240085,,,,
-118.69515389269269,-20.916492629203734,-3.049873207331413,,,,
-119.2720795,-20.96955681,-3.049873207331413,,,,
