x,y,yaw,left_x,left_y,right_x,right_y
-189.25731970251695,0.4300237070279481,-1.4860959783099033,-188.7682199301021,11.010180844171902,-191.53784400682324,10.772916342502166
-189.08813590661055,-1.5626365598421978,-1.4844518422067123,-187.5241,-3.5304,-190.2907,-3.7674
-188.9156441065904,-3.5553860010484515,-1.486561207788057,-187.2491,-6.9984,-190.0254,-7.0668
-188.7473230615436,-5.548886433552692,-1.5178303811978813,-187.2245,-9.0177,-190.033,-8.9161
-188.6414344364784,-7.546199719843369,-1.5846797952447922,-187.365,-11.0619,-190.1891,-10.7292
-188.66925346115235,-9.549822760626776,-1.6715059026536703,-187.6708,-13.0894,-190.4913,-12.5225
-188.87084003850907,-11.544713407537358,-1.7684221952892412,-188.1401,-15.0867,-190.9374,-14.284
-189.2630081998071,-13.503208602400818,-1.856440409316797,-188.7599,-17.0127,-191.5346,-16.0303
-189.8253468904222,-15.418041308503824,-1.8993849810026202,-189.6177,-19.2027,-192.2447,-17.7806
-190.47318630347306,-17.318149492237232,-1.8897164759885086,-189.952,-20.4251,-192.7192,-19.2641
-191.1053490873256,-19.232683893207277,-1.8091310265905742,-190.1648,-21.6737,-193.046,-20.7876
-191.5772256863855,-21.17494343049401,-1.655764238098206,-190.254,-22.9364,-193.222,-22.3365
-191.74565682557275,-23.152461875654993,-1.5266020597531385,-189.7309,-31.0755,-193.2461,-23.8714
-191.657086872315,-25.1552619829912,-1.488313029387331,-189.1448,-40.5857,-192.7197,-31.3673
-191.4912623559093,-27.161101818115334,-1.502952842999861,-187.851,-52.8297,-191.9865,-40.3797
-191.35559878755174,-29.15768801304619,-1.5078485003904643,-187.7329,-55.9893,-191.9615,-40.7441
-191.230018601797,-31.150040752909916,-1.5005060026454016,-187.9531,-58.9547,-190.6521,-53.097
-191.08965101995324,-33.14371960701528,-1.497917984890308,-188.8701,-62.9538,-190.5412,-55.9451
-190.94396314270742,-35.13923506047838,-1.503771630945422,-190.4997,-66.855,-190.732,-58.56
-190.8099540601804,-37.13563878301603,-1.5039707364427515,-191.7841,-69.3114,-191.539,-62.104
-190.6763980184323,-39.131239219371125,-1.487779620131294,-193.2083,-71.7507,-192.9571,-65.5249
-190.5106008206836,-41.12380373283291,-1.4662211326307308,-194.7451,-74.1208,-194.2297,-67.9589
-190.30183813010797,-43.112813930163455,-1.461294755453694,-196.5349,-76.6256,-195.5884,-70.285
-190.08324441350675,-45.101089762380674,-1.4673273984758766,-198.4346,-78.9648,-197.0545,-72.5449
-189.8766753148524,-47.09039622886595,-1.462648470403938,-200.7737,-81.1178,-198.7942,-74.9784
-189.6608020258362,-49.0787020926416,-1.4552950099799564,-203.4039,-82.9035,-200.4745,-77.053
-189.43028742147789,-51.06559396258031,-1.4778337785199698,-206.268,-84.2831,-202.5102,-78.9272
-189.2446246199251,-53.057015903603805,-1.5290217883627706,-209.3039,-85.2267,-204.7993,-80.4817
-189.16102234235444,-55.05712513920047,-1.5984722387737276,-212.4446,-85.7136,-207.2921,-81.6828
-189.2164107799696,-57.05793708105734,-1.6794869134896957,-224.6714,-86.7414,-209.9344,-82.5044
-189.43364685814583,-59.04872543168131,-1.7657494500237811,-243.0911,-88.2615,-212.6696,-82.9286
-189.82165206481955,-61.013695770349194,-1.8545453140093298,-262.8058,-89.86,-224.9033,-83.8973
-190.38194971325365,-62.93503880042531,-1.937029628104605,-263.9999718472467,-89.97181537387921,-243.3182,-85.4672
-191.09880012966192,-64.80409466603848,-2.0046205112028654,,,-263.0278,-87.0267
-191.94037796284584,-66.62074618571938,-2.0579827038484306,,,-264.2267524556217,-87.14042922780844
-192.87681706322377,-68.38834798196913,-2.0951771350600707,,,,
-193.87820827325984,-70.11968019008513,-2.1224611586121815,,,,
-194.92642383333583,-71.8229928893507,-2.147438139045431,,,,
-196.01721812351542,-73.50015927975778,-2.1814476542355425,,,,
-197.16423724082642,-75.13901837084039,-2.233115622139672,,,,
-198.3946807174638,-76.71685810733644,-2.3009963250425858,,,,
-199.72974235918454,-78.20808428579343,-2.3820615396025184,,,,
-201.18257716431393,-79.58763723188315,-2.4754039399597616,,,,
-202.75855808676707,-80.82646747791807,-2.5836518547443204,,,,
-204.456483445785,-81.88611659245312,-2.699350372905614,,,,
-206.26612751702535,-82.74302409123783,-2.801650176028752,,,,
-208.15645613742907,-83.41158069591322,-2.8895588478317555,,,,
-210.0962378132784,-83.91109282528868,-2.9676520680867315,,,,
-212.06732893701678,-84.25744564119746,-3.034502621278684,,,,
-214.05563213295665,-84.47119081624083,-3.0702897076097084,,,,
-216.0509941361164,-84.61370761095678,-3.067483745593286,,,,
-218.04580757531866,-84.76181229265322,-3.0576262338347022,,,,
-220.03868283534356,-84.92954126184135,-3.058291733382828,,,,
-222.0316791543979,-85.0959447610542,-3.060811325515067,,,,
-224.02517833004325,-85.25733347877097,-3.0595906152612655,,,,
-226.01847781529807,-85.42115546220423,-3.057653359306466,,,,
-228.01143354439685,-85.58883676133615,-3.0572695313367175,,,,
-230.00432150501183,-85.75728272462537,-3.0578047891055133,,,,
-231.99730471863117,-85.92466240661327,-3.0581383882896738,,,,
-233.99034603110883,-86.0913774201427,-3.058153701771387,,,,
-235.983388583595,-86.25806180346193,-3.057806926427581,,,,
-237.97637223833522,-86.42543723280498,-3.057204409191386,,,,
-239.96925552504848,-86.59401350977829,-3.057615211841533,,,,
-241.96220771661615,-86.76177107578373,-3.0598074668137474,,,,
-243.9555258566991,-86.92515942630334,-3.0620177335500576,,,,
-245.94920758009033,-87.08414220031015,-3.061735994634005,,,,
-247.94282396555096,-87.24368502780439,-3.059780092166018,,,,
-249.93609238194495,-87.40712423432456,-3.061178942229969,,,,
-251.9296214305222,-87.5677777345841,-3.0697788233542624,,,,
-253.9247271585559,-87.71130073036115,-3.076545711216784,,,,
-255.92104959489427,-87.84133885422877,-3.0687979145753146,,,,
-257.9158686370986,-87.98680822759924,-3.0491638066064355,,,,
-259.90696390008856,-88.17136873903058,-3.0285486620216284,,,,
-261.040496826172,-88.3000564575195,-3.0285486620216284,,,,
