x,y,yaw,left_x,left_y,right_x,right_y
-61.59826412777422,-16.267466959203464,-3.039262241128721,-53.002015741850066,-16.904490943411307,-53.250144493048964,-14.131970304867494
-63.583299012227464,-16.47130840434941,-3.0416168540368815,-71.4284,-18.602,-71.6794,-15.7329
-65.56959298591374,-16.670554005865313,-3.0861788626572633,-72.7677,-19.1806,-73.515,-16.127
-67.57992210299332,-16.782068128338764,-3.1081399606601066,-73.962,-20.1219,-74.592,-16.6419
-69.60226069980786,-16.84974604803042,-2.9800892230775067,-75.5593,-21.177,-75.7509,-17.5457
-71.55593722367828,-17.168043757355147,-2.7349265079607883,-77.3673,-22.0318,-77.1259,-18.5166
-73.37825468693426,-17.952867216862483,-2.5998195908730786,-79.266,-22.6387,-78.5314,-19.2784
-75.1163651715663,-18.998935702087156,-2.596879680639217,-82.8215,-23.133,-80.0311,-19.8505
-76.84014702411112,-20.043296245990454,-2.699793567416062,-84.664,-23.262,-83.0154,-20.3465
-78.63560073738056,-20.89251033491823,-2.8699790174570303,-98.9138,-24.4603,-84.8945,-20.4767
-80.55690972357783,-21.42758748333874,-3.002056011062804,-116.67289897185007,-25.92723412806795,-99.1411,-21.6897
-82.55143374267301,-21.70771711836862,-3.0683906285334808,,,-116.90174506138197,-23.156761837897317
-84.5484294359628,-21.854162919027054,-3.0658103325517168,,,,
-86.54091187701138,-22.005447581241953,-3.053347033500457,,,,
-88.53396482400123,-22.181783739127983,-3.0531678502063255,,,,
-90.52704530132645,-22.35848226075781,-3.057411148313633,,,,
-92.51992991500803,-22.526643701968784,-3.0583992366233366,,,,
-94.51271323744716,-22.692813695024793,-3.0570698056999857,,,,
-96.50550694061526,-22.861652553593153,-3.0570139407343735,,,,
-98.49843210959892,-23.030614684981984,-3.058577001400063,,,,
-100.49158253225777,-23.196458518754444,-3.0595105202575814,,,,
-102.48483533933947,-23.360437394897097,-3.0602539671993942,,,,
-104.47827937342234,-23.522940043715103,-3.0593934718965157,,,,
-106.4716493534952,-23.687163461357873,-3.055306020375042,,,,
-108.46427995341698,-23.85952883495818,-3.049756501236728,,,,
-110.45585484240314,-24.04294333192119,-3.042744670713702,,,,
-112.44605768966915,-24.240314119652062,-3.036588570152112,,,,
-113.7057685,-24.3730772,-3.036588570152112,,,,
