x,y,yaw,left_x,left_y,right_x,right_y
-575.0065791343325,-111.58951230758137,-1.497712579676475,-573.892,-107.4957,-576.7042,-107.7046
-574.8605411650746,-113.58418109119452,-1.4979163504318809,-572.478,-124.9814,-575.5627,-125.2458
-574.7149104982046,-115.57886802883147,-1.4983315598117448,-572.2169,-128.5211,-575.4499,-128.1635
-574.5701097483255,-117.57359195700232,-1.4977114865637686,-572.0975,-132.1871,-575.2361,-132.3033
-574.4240695941122,-119.56826064322902,-1.4960941122554245,-571.9884,-139.1333,-575.1686,-136.2035
-574.2747964181784,-121.56278522926148,-1.497958573802424,-572.1324,-140.2727,-575.85,-138.2307
-574.1292501479113,-123.5574759285703,-1.5050044502483022,-572.6167,-141.5457,-576.7352,-139.2617
-573.9977820326071,-125.55283428802247,-1.5113593125017422,-573.3948,-142.7146,-577.6187,-139.682
-573.8789793957277,-127.54927884335818,-1.514834011512855,-574.4433,-143.7111,-579.6716,-139.8408
-573.7670609268963,-129.54708056342406,-1.5284672456418276,-575.4608,-144.3761,-581.1137,-139.4725
-573.6824216804962,-131.54543930959278,-1.5550415594622877,-577.1614,-144.7478,-581.7806,-138.9577
-573.6509386324511,-133.54359278952887,-1.5474292190363341,-579.2144,-144.9066,-582.4009,-137.8448
-573.604161727228,-135.54505534368727,-1.5648014412927125,-580.8937,-144.8388,-582.7711,-136.4176
-573.5921603404807,-137.54696897010714,-1.8179385085112325,-581.9743,-144.4469,-583.3543,-129.6482
-574.084617098185,-139.49883890599452,-2.2052572136660245,-583.1658,-143.7748,-583.8505,-123.0868
-575.2722003955992,-141.1124702554595,-2.628678042025315,-584.1814,-142.8992,-585.095735421692,-106.7547852757873
-577.0279485793372,-142.10129273805236,-2.9908747463290855,-584.9884,-141.8624,,
-579.010726448817,-142.40241642683893,2.968410780596352,-585.5636,-140.7113,,
-581.0402504953845,-142.0473831525888,2.590286546247232,-585.8403,-139.6539,,
-582.7474192147329,-140.99763874784261,2.1465814228605526,-586.7582,-129.9417,,
-583.8285877066834,-139.33215251397425,1.8409412393310702,-587.3403,-123.3529,,
-584.3758654696194,-137.35580802407685,1.6826261719302933,-588.5855369373303,-107.02086539727438,,
-584.6000605370045,-135.35938480720878,1.6332636820798334,,,,
-584.724237596777,-133.374099898735,1.6597803815515402,,,,
-584.9018455575839,-131.3834181137111,1.6662907736191654,,,,
-585.0928258824616,-129.38959073013353,1.6523748253767907,,,,
-585.2558000216749,-127.39626592302031,1.6508566137820337,,,,
-585.4157076895006,-125.4031944883957,1.6530683371027273,,,,
-585.5800790099881,-123.4098033793259,1.648674184783102,,,,
-585.7356834217084,-121.41578723343649,1.6457463066107665,,,,
-585.8854396248491,-119.42144807589521,1.6475261550604317,,,,
-586.0387464510555,-117.42736248266564,1.6485045852359603,,,,
-586.1940071116222,-115.43339144073468,1.6476984793483702,,,,
-586.3476610337917,-113.4392872770939,1.6453669173881011,,,,
-586.4966644731165,-111.4448395428722,1.6424005469438607,,,,
-586.602905273438,-109.963653564453,1.6424005469438607,,,,
