x,y,yaw,left_x,left_y,right_x,right_y
-411.1986897869987,78.17836325174075,-3.06308204465846,-407.1015,77.1064,-407.3301,79.8886
-413.2236291006081,78.0190565809669,3.068152466599453,-411.4266,76.7431,-411.6475,79.5519
-415.21400402805466,78.1654934497129,2.8977464946834925,-413.3838,76.5962,-413.2913,79.4236
-417.15669292963486,78.6488287259185,3.0648996682406495,-414.2066,76.5781,-413.9975,79.4968
-419.1555240818365,78.8024263164938,-3.098956853066113,-415.0285,76.6224,-414.6956,79.6272
-421.1604423502969,78.71689318714982,-3.0534992821738727,-415.9507,76.7988,-415.275,79.7438
-423.1512338737782,78.54106257346997,-3.0555314221851995,-416.7119,77.0157,-416.0278,79.9322
-425.14263354361486,78.36925589198007,-3.064726994566019,-416.8981,77.0586,-416.3122,80.0009
-427.137260297225,78.21563492505469,-3.0610331706629474,-417.7076,77.2501,-417.2485,80.157
-429.13101152227586,78.05467099700668,-3.057595522701615,-418.4729,77.3686,-418.2512,80.246
-431.123811945005,77.88688669160308,-3.058457463486616,-419.3038,77.4267,-419.1991,80.2537
-433.1168523256058,77.72081211835726,-3.059323984770344,-419.9168,77.3801,-420.1231,80.1876
-435.1101294857157,77.55645689968655,-3.0590955418543375,-427.283,76.7856,-427.5165,79.6048
-437.1033387682736,77.39164883893629,-3.058782189227938,-438.8974,75.8224,-439.1311,78.6437
-439.09647420510714,77.22621804363088,-3.0586486676733182,-445.2715,75.3044,-445.5049,78.1019
-441.0895971126328,77.06052032707461,-3.058659209732763,-459.5794,74.1106,-459.8128,76.9081
-443.08272539964327,76.89484332017445,-3.0586490524141268,-462.0006,73.9086,-462.234,76.7061
-445.0758492125407,76.72914630048629,-3.058453606687812,-463.61,73.7743,-463.8435,76.5718
-447.06894064290066,76.56305973307549,-3.0583095836009093,-475.077,72.8119,-475.3117,75.6215
-449.06200875611535,76.39668606413336,-3.0583018269103293,-484.015,72.1237,-484.2216,74.9481
-451.05507561914817,76.2302969322119,-3.0583498244015375,-492.909,71.463,-493.137,74.298
-453.0481502530715,76.06400348046931,-3.0583633266250123,-494.1085895098844,71.3672003846624,-494.31728202188043,74.20269487271464
-455.0412270573732,75.89773694591857,-3.05834910251465,,,,
-457.03430154217693,75.73144205782741,-3.0583464737900856,,,,
-459.0273756353347,75.56514192669613,-3.058356364728244,,,,
-461.0204513756475,75.39886150874634,-3.0583490452367363,,,,
-463.01352585866044,75.23256650585071,-3.0583080628899646,,,,
-465.00659388001077,75.06618979257634,-3.0584046858452267,,,,
-466.99967758835453,74.90000568784448,-3.0586267655627233,,,,
-468.992796821936,74.73426432141649,-3.0583218804369037,,,,
-470.98586721275933,74.56791514156427,-3.0575106291814866,,,,
-472.97880779051087,74.3999486474714,-3.058863417815173,,,,
-474.97196486034886,74.23467907220059,-3.0629090965188768,,,,
-476.9657692359459,74.07747489547157,-3.0665436281625458,,,,
-478.96014789963743,73.92751707603794,-3.0706598309121587,,,,
-480.95516088617785,73.78576735757694,-3.072287622833216,,,,
-482.9504166132218,73.64726427492465,-3.0713226715305613,,,,
-484.9455140802437,73.50683759934618,-3.068874497934974,,,,
-486.9402249474219,73.36152968765343,-3.0649430048577795,,,,
-488.9343208749347,73.20838289665826,-3.0596723127371135,,,,
-490.92759590144897,73.04472686779272,-3.0573758221070984,,,,
-491.1383972,73.02693176,-3.0573758221070984,,,,
