x,y,yaw,left_x,left_y,right_x,right_y
-314.9998078563864,149.26772218582104,-3.0669737454511528,-308.4099311984206,148.30401919563764,-308.62532882797314,151.19629857226334
-316.9940526790448,149.11863701066417,-3.0668102836988624,-320.2009,147.4259,-320.4162,150.3182
-318.9881635096355,148.96923406588593,-3.068823954953519,-329.043,146.7675,-329.2583,149.6597
-320.98392619632,148.82374812525563,-3.06958088505397,-330.7853,146.6653,-330.7168,149.8212
-322.98030864382986,148.67973607425256,-3.0627946707806086,-332.0195,146.7221,-332.3089,150.371
-324.97112364119926,148.52253838033184,-3.0569536163931423,-333.3016,147.0383,-333.7043,151.0074
-326.9571678528206,148.35403895461613,-3.0758152146364885,-335.2039,147.87,-334.3602,151.328
-328.9586870429976,148.2221939433836,3.108567768294559,-335.6355,148.0686,-336.8557,152.3045
-330.96517704891784,148.28848214635013,2.9095778973378295,-338.1311,149.0451,-338.9264,152.9551
-332.90434184946236,148.7466477987786,2.7173284675264946,-339.7582,149.5661,-341.0648,153.3216
-334.7335324008366,149.57288752884728,2.7395699483789246,-341.44,149.8731,-343.1744,153.4032
-336.572919349959,150.35495721620876,2.8195248951017065,-343.2059,149.9553,-347.3775,153.0641
-338.4753501493922,150.98977139676072,2.906400931069545,-347.1108,149.6264,-348.7247,152.9424
-340.42004208852387,151.4557709753855,3.049631668764428,-348.4409,149.4258,-350.62,152.6955
-342.41019506784284,151.63930506699924,-3.1166567504718015,-349.5519,149.1957,-352.1575,152.2878
-344.4141437105784,151.589324438055,-3.057072190546045,-350.7974,148.6777,-353.5534,151.5156
-346.4065830925515,151.42052038501433,-3.0367782092855817,-351.9496,147.7337,-354.5335,150.6907
-348.3953813337396,151.2112988668707,-2.96890858761447,-352.7631,146.7288,-355.3564,149.7101
-350.38877234044844,150.86360910113743,-2.724511759648813,-353.2059,145.3668,-355.9978,148.6032
-352.21292208161725,150.05537242247289,-2.397956780593095,-353.1991,143.5009,-356.4387,147.4032
-353.6989819823738,148.68852574877977,-2.0574661111807817,-352.1087,129.2874,-356.6459,146.2907
-354.6403102374133,146.90947423952073,-1.7282217478789181,-350.6369,110.8752,-356.6923,144.8699
-354.9548539446861,144.927958286386,-1.5162637526271991,-350.4076117678189,108.37799243700464,-356.5677,143.2463
-354.8458423176516,142.93092169650552,-1.478398456996593,,,-354.9702,129.0678
-354.6612920454257,140.93926558610443,-1.4727173691209519,,,-353.465,110.6155
-354.4654789975459,138.9491876313015,-1.4751809761766732,,,-353.23856606332953,108.14937893572484
-354.2745547586992,136.9584815982057,-1.4772138541375244,,,,
-354.08765733132213,134.96717374565043,-1.4756024485126464,,,,
-353.8975481316169,132.9761360093957,-1.474751274529523,,,,
-353.70575094558694,130.98532998229396,-1.479444730845808,,,,
-353.5233071335328,128.99372794419884,-1.4876777261662897,,,,
-353.35726396325344,127.00066487674265,-1.492650898714391,,,,
-353.20112861623767,125.00672361803353,-1.4931894439962992,,,,
-353.0460672028437,123.01269963468552,-1.4902311361525888,,,,
-352.8851113415927,121.01919018262899,-1.482606851167055,,,,
-352.70896118186045,119.02696538398021,-1.4759653179751984,,,,
-352.5195745058197,117.0358590502099,-1.4769900137559773,,,,
-352.33223174266743,115.04459727744033,-1.48390622872705,,,,
-352.1586751205581,113.05219966014079,-1.4946698947028627,,,,
-352.0283203125,111.343162536621,-1.4946698947028627,,,,
