x,y,yaw,left_x,left_y,right_x,right_y
-352.3638641031104,114.60185934483253,-1.4918405703765956,-351.7805292147232,125.18198748969047,-354.63442506941976,124.95152325834073
-352.20611505548635,112.60807047718211,-1.4874365047853875,-350.6369,110.8752,-353.465,110.6155
-352.0395902260728,110.61503681462095,-1.4801185647803639,-350.0564,104.5529,-352.8845,104.2932
-351.8584838074832,108.62326107620372,-1.4768646151088587,-349.5442,98.2537,-352.3723,97.994
-351.6708940393474,106.63205141904206,-1.4798674567570616,-348.9637,91.9314,-351.7918,91.6717
-351.4892872569093,104.64031882220458,-1.4880719424774882,-348.9585,90.6084,-351.7699,91.0108
-351.3240265532004,102.64715132423113,-1.490796197529568,-349.093,89.5118,-351.9165,90.1433
-351.1641996163062,100.65358171931659,-1.4893597001728431,-349.4256,88.3384,-352.1664,89.42
-351.0015086189388,98.66023801714647,-1.4895020824379108,-349.9381,87.2272,-352.5237,88.7479
-350.8390752497886,96.66654971512354,-1.4676839463755096,-350.6192,86.2055,-352.9785,88.1429
-350.63323171652223,94.6773269452678,-1.4594157529181833,-351.4534,85.2989,-353.5189,87.6187
-350.41095315361946,92.68991903915118,-1.5771549999129582,-352.4215,84.5303,-354.1308,87.1872
-350.4238041561728,90.66892674815787,-1.8061114351914647,-353.5008,83.9192,-354.7986,86.8579
-350.8940819554043,88.70744910820692,-2.1307458291754537,-354.5442,83.5191,-355.6271,86.6001
-351.9604979987978,87.00629829783874,-2.4627189465926573,-357.9675,83.0293,-358.2639,86.2815
-353.5426422105738,85.72982394269971,-2.7693967910981514,-359.4705,82.8426,-359.8662,86.1625
-355.40979139098374,85.00090473162213,-2.995103946204361,-360.3541,82.721,-361.086,86.0082
-357.39857829357925,84.70746795255168,-3.0554623393656906,-361.4475,82.5091,-362.2192,85.7646
-359.39768590109844,84.53485714110337,-2.9816868657998765,-362.5473,82.2324,-363.4111,85.4259
-361.370752130109,84.21663550221639,-2.8970108489556807,-368.3098,80.6612,-369.0645,83.4943
-363.3145198587367,83.73151310206967,-2.851184636600699,-370.1366,80.2488,-370.8182,83.0473
-365.2309085699262,83.15878655366917,-2.837956429785388,-372.0988,79.9959,-372.4911,82.772
-367.1395276875253,82.56076861402838,-2.8582601330958477,-374.5472,79.7777,-374.7761,82.565
-369.0626740924525,82.00081400204905,-2.9232510790520276,-407.1015,77.1064,-407.3301,79.8886
-371.01352687290466,81.56796130493522,-3.013287079263397,-411.11581758562215,76.76920511922117,-411.34311530069795,79.57563797383958
-372.9959625433953,81.31219873314305,-3.058015312975977,,,,
-374.9920353969349,81.14498274680871,-3.060222693084126,,,,
-376.98604835035115,80.98237094496002,-3.058802800757787,,,,
-378.978299460503,80.81705489517478,-3.0592674064163643,,,,
-380.97108743708264,80.65262649627402,-3.0598083202725146,,,,
-382.96457435194816,80.48922602440865,-3.059710641936227,,,,
-384.95806807470285,80.32562896354285,-3.059532289043367,,,,
-386.95133028468547,80.16169299833514,-3.059832998781904,,,,
-388.9445796041333,79.99836152230614,-3.060151386142304,,,,
-390.9379291640995,79.83566073442856,-3.059294646299517,,,,
-392.9311841242832,79.67124846946602,-3.0576870598885644,,,,
-394.9241964252339,79.50363005149963,-3.0593477941710088,,,,
-396.91743813638226,79.339325536218,-3.06694932279545,,,,
-398.91177924760547,79.19018418334268,-3.0753629985922113,,,,
-400.90734581090106,79.05782491626638,-3.07945155700463,,,,
-402.90351875917617,78.9336206268363,-3.0802466720179202,,,,
-404.89982377882325,78.81100147853313,-3.0777485658915524,,,,
-406.89578655623507,78.68339763483756,-3.073837660099659,,,,
-408.1729347,78.59673181,-3.073837660099659,,,,
